gene	male_young_adult_3
1	-0.05181102475802313
10	0
100	0
1000	-0.00544069584003775
10000	-0.01358239568631056
100009676	0
10001	0.0248292560544354
10002	0
10003	0
10004	0
100048912	-0.01560796300712666
10005	0
10006	0.00957475115209439
10007	0.00595869418528094
10008	0.01239819152392974
10009	0
100093630	0
100093698	0
1001	0
10010	0
100101467	0.01565165433214593
100101938	0
10011	0
100113407	0
100124700	0
100125288	-0.0250126907856287
100126791	0
100126793	-0.00439336196054077
100127888	0
100127983	-0.02926150301067985
100128025	0
100128071	0
100128098	0
100128124	0
100128126	0
100128139	0
100128164	-0.00860611564816835
100128191	0
100128239	0
100128325	0
100128554	0
100128590	-0.05462925287535043
100128640	-3.7184615267176e-4
100128731	0
100128750	0
100128782	0.06150716262178045
100128788	0
100128881	0
100128893	0
100128927	0
100128946	0
100129128	0
100129175	0
100129195	0.00202662052609211
100129196	0
100129250	0
100129271	0
100129361	0
100129427	0
100129461	0
100129482	0
100129503	0
100129550	8.509603669337e-4
100129597	0
100129620	0
100129654	0
100129662	0
100129716	-0.00818088714770573
100129722	0
100129726	-0.00260148752819243
100129792	0
100129794	0
100129827	0
100129845	0
100129858	-0.05718032265647303
100129917	0
100129935	0
10013	0.00902240102249134
100130155	0
100130249	0
100130264	0
100130331	0
100130357	0.02381981211617411
100130449	0
100130476	-0.00755185740054221
100130519	0
100130522	0
100130548	0
100130613	0
100130691	0.05564642276720232
100130705	0
100130717	-0.00372579905643265
100130733	0.01531853366063177
100130776	0
100130894	0
100130933	0
100130950	0
100130958	0
100130967	0
100131017	0
100131067	0
100131117	0
100131138	0
100131187	-0.00183601037321235
100131211	-0.01452867864630042
100131213	0
100131303	0
100131347	0
100131366	0
100131434	0.03386601792805673
100131496	0
100131655	0.00341235734336042
100131691	-0.00822863973923879
100131755	0
100131801	0
100131814	-0.04687516137540021
100131816	0
100132074	0
100132078	0
100132341	0
100132386	0
100132464	0
100132476	0
100132596	0
100132677	0
100132891	-0.04458797597552911
100133205	0
100133311	0
100133461	0
100133612	0
100133941	-0.05245914123982023
100133985	0
100134229	0
100134259	0
100134368	0
100134713	0
100137047	0
10014	0
100141515	0.00261612695524599
100144597	0
100144602	0
100144603	0.01171568420910614
100144748	0
10015	0
10016	0
100169752	0
100169989	0
10017	0
100170229	0
100170765	0
100170841	0
10018	-0.00186438101609345
100188893	0
100188953	0
100189589	-0.00374625504483893
10019	0.02111844501860473
100190938	0.00989678891576816
100192379	0
100192386	0
1002	0
10020	0
10021	0
10022	0
10023	0
10024	0.05785567284357813
10025	0
10026	1.884496540640499e-5
100268168	0
100270679	0
100272147	0
100286844	0.02012871743708047
100287015	0
100287114	0
100287177	-0.06236842685713678
100287366	0
100287482	0.04656931676356228
100287569	-0.00287779339268767
100287616	0
100287814	0
100287896	0
100287902	0
100287932	0.00140760315098002
100288079	0
100288122	0
100288198	0
100288413	0.00322670703887194
100288637	0
100288797	0
100289092	0
100289097	0
100289098	-0.01589220469656589
100289187	0.01458540617014806
100289274	0
100289341	0
100289373	0
100289495	0
100289635	0
100289678	0.00978283335671531
100292680	0
100293516	0.02355490893153163
100294362	0
100294720	0
1003	0
100302691	0
100303728	0
100303755	0.00657900484608799
100306951	0
100316904	-0.04395281391448109
100329135	0
100359394	0
10036	0
100379174	0
10038	-2.8855686180017e-4
100381270	-0.00707527398869488
10039	-0.01085798618395014
1004	0
10040	0
10042	0
100422737	0
10043	0.00472229879833139
10044	0
10045	0
10046	-4.3280314107779e-4
10047	0
10048	0
10049	0
100499171	0
1005	0
10050	0
100500850	0.16168655927001185
100505474	0
100505478	0
100505495	-0.03411171949599943
100505501	0.04104951472947754
100505515	0
100505538	-0.01078277168730638
100505540	0
100505545	0
100505549	-6.7919042158143e-4
100505573	0
100505583	0
100505609	0
100505616	0
100505619	0
100505622	0
100505624	0.03208194353986168
100505641	0
100505658	0
100505659	0
100505664	0
100505676	0
100505681	0
100505685	0
100505687	0
100505696	0.00780703092014628
100505715	0.00980905134049403
100505718	0
100505738	0
100505741	-0.10073343761234164
100505746	0
100505761	0
100505768	0
100505776	0
100505782	0
100505783	0.03853936405196746
100505797	-0.00160808072916772
100505811	0
100505812	0
100505826	0.03693310937957696
100505839	0.00607002361513462
100505841	0
100505851	-0.01599316830519891
100505854	0.00943474579282525
100505876	0
100505877	0
100505879	0
100505881	0
100505890	0
100505893	0
100505894	0
100505933	-0.0208018175670577
100505964	0
100505967	0
100505975	0
100505978	0
100505984	0.02203766440193151
100505985	0
100505989	0
100506012	-0.03557325416031259
100506013	0.01869330463483999
100506022	0
100506025	0
100506049	0
100506068	0.01144046954702755
100506071	-0.02834039196274146
100506082	0.00777359503758845
100506083	0
100506098	0.00471824860574575
100506100	0
100506107	0
100506108	0
100506113	0
100506115	0.01907235083581759
100506119	0.00602115291183603
100506122	0
100506125	0
100506126	-0.00226345578590845
100506127	0
100506142	0
100506144	-0.01696566180759395
100506172	-0.006721246543278
100506175	0
100506195	-0.00648655037651071
100506207	0
100506215	0
100506229	0
100506237	0
100506243	0.01781319682661714
100506271	0
100506274	-0.02389181752421803
100506286	0
100506289	0
100506302	0
100506314	0
100506319	0
100506368	0
100506374	0
100506380	0.01769134744497516
100506385	-0.00532800305391229
100506405	0
100506406	0
100506409	0
100506413	0
100506421	0
100506428	0
100506433	0.02515266991120033
100506457	0
100506462	0
100506465	-0.0117137147529024
100506469	0
100506475	0
100506489	0
100506492	0
100506495	0
100506497	0
100506498	0
100506504	0.0040041172040542
100506526	0
100506527	0
100506530	0
100506540	-0.07201563841923131
100506542	0
100506571	0.00309333533301189
100506581	-0.04093063650566526
100506599	0.0205960453528749
100506603	-0.01971389597143889
100506606	0.01934298737591282
100506622	0
100506655	0
100506660	0
100506668	0.00181961525252167
100506675	0
100506677	0
100506679	0
100506680	0
100506686	-0.12927161235224174
100506691	1.8179928933173e-4
100506696	-0.0131819387435841
100506697	0
100506710	0
100506713	0
100506714	0
100506724	0
100506733	0
100506742	0
100506755	0
100506757	0
100506765	0
100506776	0
100506779	0
100506790	0
100506791	0
100506795	0
100506797	0
100506826	-0.02398750331500161
100506827	0
100506834	0
100506840	0
100506866	0
100506874	0
100506895	0
100506907	0
100506922	-0.01200142776718439
100506930	0
100506963	0
100506994	0
100506999	0
100507027	0
100507034	0
100507050	0
100507057	-0.08360691364041402
100507058	0
100507059	0
100507062	0
100507064	0
100507086	0
100507114	0
100507117	0.00245900062582974
100507143	0
100507156	0
100507171	0
100507173	0.00743113675154578
100507203	0
100507206	0.02178397032836225
100507240	0
100507246	0
100507250	-0.02109565212235568
100507254	-0.06262773279841209
100507257	-0.01142623868695825
100507261	0
100507266	0
100507274	0
100507277	0
100507283	0.02217713868955039
100507290	0
100507300	-0.01894225254014391
100507303	0
100507316	0
100507331	0
100507336	0
100507362	0
100507384	0
100507388	0
100507389	0
100507391	0
100507392	0.01252388703195387
100507403	0
100507421	0
100507423	0
100507428	-0.0517559386270944
100507433	0.02791789705482224
100507436	0
100507459	0.02182370932840483
100507461	0
100507462	0
100507463	0
100507468	0
100507470	0
100507475	-0.00446381636641723
100507477	0
100507487	0
100507495	0.02447077260501887
100507506	0
100507524	-0.02864964824481561
100507527	0
100507533	0
100507534	0
100507537	0.00804671714171588
100507540	7.541198463832e-4
100507547	0
100507564	0
100507567	0
100507584	0
100507600	0
100507602	0.05210720201919199
100507605	0
100507629	0
100507632	0.00105549124048399
100507642	-0.02279320158031941
100507650	0.01762181087813773
100508631	0
10051	0
10052	0.0052892136667017
100526820	-0.00177313009856911
100528062	0
10053	0.02988350797682541
100533106	0.00968648940437155
100533178	0
100533182	7.3316862679678e-4
10054	-0.00526952978485015
10055	0
10056	0
10057	0
10058	0.03528905098244852
10059	-0.00236235195033399
1006	-0.01560543012298111
10060	0
10061	-9.0068393400044e-4
10062	-0.03148131565761963
100628307	0
100631378	0
100652740	0
100652791	0
100652824	0
100652853	0
100652911	0
100652929	0.01916867284327237
100652999	0
10066	0
10067	0.01675986946936087
10068	0.01361812459337174
10069	-0.0092609082392295
1007	0
10071	-0.00279599983195715
10072	-0.02896647196038278
10073	0
10075	0
10076	0
10077	-0.02813800605242309
10078	0.0184287477652898
10079	0.01270029854216999
1008	0
10081	0
10082	0
100820829	0.02162966275969686
10083	0
10084	0
10085	0
100852408	0
100852409	0
100859921	0
100859930	0.00472110814513688
10086	-0.01503476483836775
100861552	0
100861553	0
100861554	0
100861573	0
100862662	0
100862671	-0.02353902335708095
100862679	0
100862680	0.00144587953052659
100862704	0
10087	0
100873930	0
100873942	0
100874012	0
100874018	0
100874021	0
100874032	-0.0197959651147833
100874051	0
100874063	0
100874143	0
100874178	0
100874182	0
100874187	0
100874194	0
100874195	0
100874205	0
100874239	0
100874251	0
100874253	0.0244961303499649
100874323	0
100874362	0
100874365	0
100885778	0
100885781	0
100885798	0
100885848	0
10089	0.02880836179740153
1009	0
10090	0
10092	0
10093	0
10095	-0.02674187311843836
10096	-0.00146728284543866
10097	0
10098	0.00393629992837379
10099	-0.02066456861010625
100996246	0.01813852612153631
100996251	0
100996279	0
100996286	0.00414493016697734
100996301	-0.00760979240465682
100996307	0
100996342	0
100996419	-0.01752450501465185
100996425	0
100996455	0
100996485	0
100996490	0
100996492	0
100996570	0
100996579	-0.00907589367090677
100996590	0
100996624	0
100996671	0
100996694	0
100996702	0.03584926681300714
100996902	0
101	0.02196187809002141
1010	-0.00104644325699627
10100	0
10101	0
10102	5.3263826096881e-4
10103	0
10105	0.02000855740190667
101055625	0
101059948	-0.00183933605512446
10106	0
101060019	0
101060200	0.00145957056317644
101060264	0.01571817846338361
101060544	-0.00230335738836379
10107	0.06306046857661954
10109	0
10110	-0.01230005233588693
10111	0
10112	0
10113	0
10114	0
10116	-0.02323287610118294
10117	0
1012	0
10120	0
10121	0.00998859364741966
10123	0
10125	0
10126	0
10127	0
10128	0
10129	0
1013	0
10130	0
10131	0
10133	-0.01321841662028297
10134	0
10135	-0.00118051013202884
10136	0
10137	0
10138	0
10139	-0.01863042025842724
1014	0
10140	0
10141	0
101410533	-0.04142810611004332
101410538	0
10142	-0.01362393140552232
10143	0
10144	-0.08992294185022799
10146	-0.01331662984123807
10147	0
10148	-1.9079862757409e-4
10149	0
1015	0
10150	0
10152	0
10153	0
10154	0
10155	0
101559451	-0.03418593002101232
10157	0
10158	0.05321002012702852
10159	0
1016	0
10160	0.00998091336793764
10161	0
10162	0
10163	0
10164	0
10165	-0.01333971286915857
10166	-0.00239713342849747
10168	0
10169	0.00259449007337018
1017	0
10170	0
10171	-0.00663140148268788
10172	0
10174	0.00212496443896465
10175	0
10178	-0.01320877443712572
10179	0
10180	0
101805491	0
10181	0
10184	0
10186	-0.01928691912910101
10188	0
10189	0
1019	0
10190	0
101926888	0
101926890	-0.03745065633797218
101926892	0
101926903	0
101926928	0
101926934	0
101926942	0
101926951	0
101926978	0
101926987	0
101927003	0
101927007	0
101927017	0
101927018	-0.02878440309900144
101927027	-0.01074651199645394
101927034	0
101927038	0
101927040	0
101927043	0
101927051	0
101927059	0
101927067	0
101927074	0
101927075	0
101927081	0
101927096	0
101927111	0
101927112	0
101927115	-0.01244700367580767
101927123	-0.01336494504174169
101927124	0
101927125	0.00378838399562171
101927129	0
101927131	0
101927138	0
101927143	0
101927150	0
101927151	-0.01110749889629933
101927152	-0.01048092405308925
101927159	0
101927164	0
101927193	0
101927195	0
101927196	0
101927204	7.6654174709309e-4
101927219	0
101927220	0
101927228	0
101927237	-0.06108157458701312
101927244	0
101927253	0
101927257	0
101927273	0
101927274	0
101927275	-0.02404660938059317
101927282	0
101927286	0
101927292	0
101927295	0.00604334561307233
101927310	0
101927314	0.02268518656813459
101927320	0
101927346	0
101927348	-0.02876536597075684
101927358	0
101927360	0
101927362	0
101927363	0
101927377	0
101927379	0
101927396	0
101927402	0
101927410	0
101927411	0
101927416	0
101927417	0
101927420	0.02435550477679172
101927433	0
101927438	-0.02502077279896624
101927447	0
101927449	0
101927450	0
101927460	0.00449165474646292
101927482	-0.00497871557413914
101927494	0
101927495	0
101927498	0
101927502	0
101927503	0
101927513	0
101927523	0
101927526	0
101927528	0
101927531	0
101927539	0
101927543	0
101927547	0.0235590537650132
101927553	0
101927565	0
101927581	0
101927586	0
101927587	0.02255615616500018
101927588	0
101927592	0
101927599	0.00359588765660018
101927606	-0.00287212402863968
101927616	0
101927636	0
101927641	0
101927650	0
101927657	0
101927659	0
101927682	-0.02070929510544531
101927690	0
101927701	0
101927702	0.03206187875949794
101927720	0.03592407235563417
101927722	0.07161751215958201
101927735	0
101927760	0.00415320121485751
101927766	0
101927769	0
101927787	0
101927798	0
101927808	0
101927809	0
101927815	0.04135937161201157
101927821	0.00137131882834402
101927828	0
101927829	0
101927839	0
101927843	-0.00786018229892422
101927849	0
101927869	0
101927870	0
101927876	0
101927877	0
101927884	0
101927900	0
101927901	0
101927907	0
101927914	0
101927934	0
101927943	0
101927948	0
101927950	0
101927953	0
101927972	0
101927974	0
101927992	0
101927994	0
101928000	0.03092358255824813
101928002	0
101928009	0
101928012	0
101928031	0
101928035	0.01168499247622249
101928040	0
101928043	0
101928052	0
101928069	0
101928079	0
101928087	0
101928098	0
101928100	0.01492239993326966
101928101	0
101928104	0
101928111	0.00683056070512448
101928120	-0.00792641438418463
101928132	0
101928134	0
101928144	0
101928158	0
101928162	0
101928165	0
101928167	0
101928185	0
101928190	0
101928201	0
101928205	0
101928222	0
101928227	0
101928238	0.02904572251645582
101928251	0
101928259	0
101928271	0
101928276	0
101928280	0
101928288	0
101928298	0
101928303	0
101928333	0
101928335	-0.00607739160169529
101928371	-0.00370974432684836
101928376	0
101928386	0
101928388	0
101928389	-0.00112747717708947
101928399	0.01737890954613924
101928401	0
101928405	0
101928418	0
101928424	0
101928435	0
101928443	0
101928446	0
101928449	0
101928460	0
101928461	-0.0075438729071213
101928464	0.02240372043072241
101928475	0
101928476	0.02076102245993341
101928495	0
101928496	0
101928516	0
101928521	0
101928525	0
101928535	0
101928537	0
101928539	0
101928555	0
101928557	0
101928559	0
101928565	0
101928571	0
101928578	0
101928580	0
101928583	0.03213103149638132
101928590	0
101928597	0
101928602	-0.00459598613628892
101928616	0
101928618	0
101928622	0
101928646	0
101928649	-0.04281703953378719
101928651	0
101928661	0
101928673	0.01610248524799821
101928682	0
101928684	0
101928687	0
101928694	-0.00155906222186383
101928700	0
101928707	-0.00148558927916601
101928708	0
101928710	0.00780549176477634
101928725	0
101928728	0
101928731	0
101928739	-0.01533724794867463
101928748	0
101928751	0
101928770	0
101928773	0
101928778	0
101928784	0.04537819855372799
101928790	0
101928795	0
101928797	0
101928809	0
101928820	0
101928823	0
101928834	-0.03391596160189965
101928837	0
101928844	-0.00842394080127798
101928845	0
101928846	0.00373893398254037
101928847	0
101928850	0
101928857	0
101928858	0
101928865	0
101928881	0
101928886	0
101928894	-0.01269430503564601
101928896	0
101928909	0.00483357623227886
101928922	0
101928937	0
101928940	0
101928973	0.0172146950097956
101928978	0
101928988	0
101928989	0.07483348684759233
101928999	0
101929002	0.01214077636906972
101929004	0
101929019	0
101929027	0
101929034	0
101929052	0
101929064	0
101929076	0
101929081	0
101929084	0
101929109	0
101929110	0
101929116	0
101929123	0
101929144	0.0081270135462043
101929151	0
101929153	0
101929154	0
101929162	0
101929164	0
101929172	0
101929176	0
101929181	0
101929210	0
101929224	0
101929239	0
101929241	0.02191866095063694
101929243	0
101929260	0
101929261	0
101929265	0
101929268	0
101929269	0
101929288	0
101929315	0
101929328	-0.02247600122937485
101929335	-0.01364006365439762
101929378	0.01300171979776729
101929384	0
101929406	0
101929407	0
101929413	0
101929423	0
101929441	0
101929460	-0.00203067293437251
101929472	0
101929478	0
101929486	-0.00315152149070121
101929488	0
101929497	0
101929505	0
101929511	-0.00186765665499473
101929517	0
101929524	0
101929526	0
101929528	0
101929529	-0.00482526924887826
101929536	0
101929538	0.02881492326371333
101929549	0
101929552	0
101929557	-0.01446272195548252
101929570	0
101929582	0
101929584	0
101929586	0
101929591	0
101929592	0.01467744160817638
101929607	0
101929620	0
101929623	0
101929631	0
101929651	0
101929657	0
101929690	0
101929693	0
101929694	0
101929717	0
101929718	0
101929719	-0.00333888759913323
101929726	0
101929730	0
101929745	0
101929748	0
101929759	0
101929760	-0.03671501743946098
101929765	0
10193	0.00801855357041882
101930114	0.04491674861809153
101930421	0
101930452	0
10194	0.01774367568504708
10195	0
101954204	0
10196	0.00890988644168881
10197	0
101978719	0.01721280958003796
10198	0
10199	-0.00167298287293407
102	0
1020	0
10200	0
10201	0
10202	0
10203	0
10204	0.00954755373324332
10205	-0.06315268527573285
10206	0
102060282	0.03038780137899216
10207	-0.00796677036778436
10208	0
10209	-0.00135986666216972
1021	-7.5288093867846e-4
10210	0
10211	-0.00596137661825942
10212	-0.00199646860924004
10213	0
10214	0
10215	0
102157402	0
10216	-0.01809677853216865
10217	-0.00323770202800062
10218	0
10219	-0.02644365316642175
1022	0
10220	-0.00243253073533692
10221	0
10223	0
10224	0
10225	0.01249860743341424
10226	0
10227	-0.02293388553752107
10228	-0.00291901207485412
10229	-0.01681907460351997
10230	0
10231	0
10232	0
10233	0
10234	-0.01763868631035604
10235	0
10236	0
10237	0
10238	0
1024	0
10240	0
10241	0
10242	0
10243	0.05003215738900645
10244	0
10245	0
10246	0
102467079	0
10247	-0.04580342626015494
10248	0
10249	0
1025	0
10250	0
10251	0
10252	-0.01068190514268179
10253	-0.02669392179801281
10254	0
102546226	0
102546294	-0.00874979118283103
10255	-0.04995579286500799
10256	0
10257	0.0230409100776911
1026	-0.0164337341418636
10260	0
10261	0
10262	0
10263	-0.00435882137866965
10265	0
10266	0
10267	0
10268	0.0256303871669244
10269	0.0021104456571622
1027	0.01675176555067551
10270	0
10272	0
102723335	0.00217581926708634
102723526	-0.01938530895104713
102723661	0
102723684	0
102723692	0
102723701	-0.01408264153084799
102723775	0
102723786	0
102723809	0.00200122719189884
102723932	0
102724009	-0.01736301479889447
102724094	0.06410613527345949
102724201	0
102724323	0
102724368	0.02882868255977654
102724508	0
102724511	0
102724532	0
102724612	0
102724699	0
102724814	0.02674067767275269
102724927	0.00285587643432753
102724929	0
10273	0
10274	0
10276	-0.00489459895884517
10277	0
10278	0
10279	-0.02033788192226681
1028	-0.02252873436673631
10280	0
10281	0
10282	0.00892473626900596
10283	0
10284	0
10285	0
10286	-0.0011671308530424901
10287	0
10288	0.00118796991894717
10289	-0.00947491788410574
1029	0
10290	0.02324118174924464
10291	-0.00361045648828029
10293	-0.00629358444553785
10294	0
10295	0
10296	0
10297	0
10298	0
10299	0
103	0.02667827399137972
1030	-0.01012032720233522
10300	0
10301	-0.0357454529734598
10302	0
10307	-0.00720483531157095
10308	-0.01412039439199116
10309	0
1031	0
10311	0
10312	0
10313	0
10314	0
10316	0
10317	0
10318	0
10319	0
1032	0
10320	-0.01966631308963967
10321	0.00464023269706247
10322	0
10324	0
10325	0
10326	0.094861947980227
10327	0
10328	0
10329	0
1033	1.8463288621251e-4
10330	0
10331	0
10332	0
10333	0.00407952960702826
10335	0
10336	0
10342	0.01355074919576976
10343	0
10344	0
10345	0
10346	0.0143390084718428
10347	-0.03117142082015782
10350	0
10351	0
10352	-0.02237697330590016
1036	-0.00300271863120724
10360	0.00532494908115413
10361	-0.00208124622534383
10362	0
10363	0
10365	-0.05028489212670663
10367	0
10368	0
10369	0
10370	0.00766703479302055
10371	-0.0113833648025454
10376	-0.00577160877566512
10379	0
1038	0
10380	0.01107374801104947
10381	0
10382	-0.00987522161863677
10383	0
10384	0
10385	0
10388	0
10389	0
1039	0
10390	0
10391	-0.02980569536000146
103910	0
10392	0
10393	0
10394	0
10395	0
10396	0
10397	0
10398	-0.09612511182018736
10399	0
104	0
1040	0
10400	0
10401	0.01853566530356891
10402	0
10403	-0.02745714305052259
10404	0
10406	0
10407	-0.01273808162634957
10408	0.0016717338144566
10409	0.01483221741004917
1041	0
10411	0
10413	0
10417	-0.00359981870554172
10418	0.01490798354545532
10419	0
10420	0.0243466381613671
10421	0
10422	0
10423	0
10424	0.0019412148977572
10425	0
10426	0
10427	0
10428	0
1043	-0.0399684709087135
10430	0
10432	0
10434	0
10435	0
10436	0
10437	0.00608120003044187
10438	0.00165835973152022
10439	-0.03069172315757988
1044	0
10440	0
10443	0
10444	0.00296886324302895
10445	-0.00218891297992461
10446	0
10449	-0.02821629637630664
1045	0
10450	0
10451	0
10454	0.01451373242010604
10455	0.00323365071643883
10456	0
10457	0.01699340903847937
10458	0
10459	0
1046	0
10460	0
10461	0.03602983355081569
10462	0.024758542934792
10463	0.02267894029766704
10464	0
10465	0
10466	-0.01634570009327989
10467	-0.0051978962250934
10468	0
10469	0
1047	0
10471	0
10472	0.00277696094344546
10473	0.03251026837691639
10474	0
10475	0
10478	0
10479	0
1048	0
10480	0
10481	0
10482	7.045023072264096e-5
10483	0.01677669154424886
10484	0.02703169056715544
10485	0
10486	0
10487	-0.01355834099971881
10488	0
10489	0
10490	0
10491	0.00395081730575964
10492	0
10493	-0.00680703679477956
10494	0
10495	0
10497	0
10498	0
10499	0
105	0
1050	-0.00935192673138122
10500	0.0022925557038145
10501	-0.02543957862144839
10505	0.0107150559857567
10507	0
10509	0
1051	0
10512	0
10513	0
10514	0
10516	0.12716861234049434
10518	0
10519	0
1052	0
10520	0.00781939925824997
10521	0
10522	0
10523	0
10524	0
10525	0
10526	-0.00310364894644261
10527	0
10528	0
10529	0.02285531982015689
1053	0.04523156776190661
10531	-5.2891402516698e-4
10533	-0.00102787194682122
10534	0.01561380363008092
10535	-0.00416284223487602
10536	0
10537	-0.0272370901139981
10538	-0.01565226160711141
10539	0
1054	0
10540	-0.00940854977619054
10541	-0.00748040878539866
10542	0
10544	-0.00564385350896939
10548	0.00811440336362127
10549	0
10550	0
10551	0
10552	-2.2066724808865e-4
10553	0.00821891158396154
10554	0.00121181361298498
10555	0
10556	0
10557	0
10558	0
10559	0.01304706488288503
1056	-0.00975991483413698
10560	0.05132783076402464
10561	0.01016469587443953
10562	0
10563	0.0041874724178887
10564	0.03539827115450102
10565	0
10566	0.01937679892350293
10567	0
10568	-0.00557433318678375
10569	0
10570	-0.00246107080916264
10572	0.01176890784495125
10573	0.00665194300027332
10574	0
10575	0
10576	0
10577	0
10578	-0.02720065275865034
10579	0
1058	0
10580	-0.02244686867260413
10581	0
10584	0
10585	0
10586	0
10587	-0.00591058152007422
10589	-0.00373900785876191
1059	-1.5610485944928e-4
10590	0
10591	0
10592	0
10594	0
10595	0
10598	0
10599	0
1060	0
10600	0
10602	0
10603	0.03541087245129839
10606	0
10607	0
10608	0
10609	-0.01026348888431755
10610	0.02886732870236348
10611	0
10612	0.00300526541127388
10613	0
10614	0
10615	0
10616	0
10617	0.0034338036780604
10618	0
1062	-0.0052378821969863
10621	-0.0018364202119188
10622	0.0554030379892137
10623	-0.00157068373570797
10625	-0.00376939834385406
10627	-0.03182633390591926
10628	0
10629	0
1063	0
10630	0.00157671005350265
10631	0
10632	0
10633	-0.04028815576047544
10634	0
10635	0
10636	0
10637	0
10640	-0.00690650078634217
10641	0
10642	0
10643	0.01834687552221242
10644	0.03009108749104689
10645	-0.00876843720392784
10647	0
10648	0
10650	0
10651	0
10652	0
10653	-0.00888893401699843
10654	-0.0011178586963536
10655	0
10656	-0.03026870127041021
10657	0
10658	0
10659	0.01379214311258054
10660	0
10661	0.0258457175722789
10663	0.04121708618764141
10664	0
10665	0
10666	0.01579605257577122
10667	0
10668	0.05816296337447315
10669	-0.00723627897792291
10670	0
10671	0
10672	0
10673	1.4398952344814e-4
10675	0
10677	0.01281340699531063
10678	-0.0010220819415431
1068	0
10681	0
10682	0
10683	0
10686	0
10687	0
1069	0.00647755243091508
10690	0
10691	-0.01897908684426753
10692	0
10693	0.00928978052385426
10694	0
10695	-0.00695466621178913
10699	-0.04625653747074045
107	0
1070	0.03859252540455783
1071	0.03265900079849505
10712	0
10713	0
10714	0.03680310391122626
10715	0
10716	0
10717	0
10718	0
1072	-0.00853151106231316
10721	0
10723	-0.0580389234686906
10724	0.00939272485642014
10725	0.01461517290014349
10726	0
10728	0
1073	0
10730	0
10732	-0.01206935685395731
10733	-0.00186938226283218
10734	-0.00834332342186381
10735	-0.0155091300130399
10736	0
10737	-0.0176142190148242
10738	0
10739	0.01362201006479302
10741	0
10742	0
10743	0
10744	-0.02906485798987687
10745	0.00142337903294013
10746	0
10747	0
10749	0
1075	0.01598476111100405
10750	0.03503163609144084
10752	0
10753	0
10755	0
10758	0
10761	0
10762	0
10763	0
10765	0
10766	0
10767	0
10768	0.01636055307560812
10769	-0.04711271846849038
10771	0.00685345160639034
10772	0
10773	-0.0268951540668435
10775	0.0039604237753559
10776	-0.01417155601662369
10777	0
10778	0
10780	0
10781	0.0166855191686453
10782	0
10783	0
10785	0
10786	0.00953356340199713
10787	0.01917514046849868
10788	0
10791	-0.01346147297424297
10793	0
10794	-0.00957740055733971
10795	-1.798844144078e-4
10797	0
10798	0
10799	0
108	0
1080	0
10800	6.1476261947218e-4
10801	0
10802	0
10803	0
10804	0
10806	0.01435279386483308
