hgnc_symbol	chromosome	sex_bias	tissue
ARHGAP26	5	F	Peripheral blood mononuclear cells
ARRDC3	5	F	Peripheral blood mononuclear cells
CMBL	5	F	Peripheral blood mononuclear cells
DDX4	5	F	Peripheral blood mononuclear cells
EGR1	5	F	Peripheral blood mononuclear cells
FAM193B	5	F	Peripheral blood mononuclear cells
FGF18	5	F	Peripheral blood mononuclear cells
GABRA6	5	F	Peripheral blood mononuclear cells
GPX8	5	F	Peripheral blood mononuclear cells
HAVCR1	5	F	Peripheral blood mononuclear cells
HBEGF	5	F	Peripheral blood mononuclear cells
HOMER1	5	F	Peripheral blood mononuclear cells
KCNN2	5	F	Peripheral blood mononuclear cells
LPCAT1	5	F	Peripheral blood mononuclear cells
MARVELD2	5	F	Peripheral blood mononuclear cells
MYOT	5	F	Peripheral blood mononuclear cells
NREP	5	F	Peripheral blood mononuclear cells
PCDHB7	5	F	Peripheral blood mononuclear cells
PDE8B	5	F	Peripheral blood mononuclear cells
PLPP1	5	F	Peripheral blood mononuclear cells
POLR3G	5	F	Peripheral blood mononuclear cells
ROPN1L	5	F	Peripheral blood mononuclear cells
SHROOM1	5	F	Peripheral blood mononuclear cells
SPATA9	5	F	Peripheral blood mononuclear cells
SRP19	5	F	Peripheral blood mononuclear cells
SSBP2	5	F	Peripheral blood mononuclear cells
TIMD4	5	F	Peripheral blood mononuclear cells
TTC23L	5	F	Peripheral blood mononuclear cells
UBE2D2	5	F	Peripheral blood mononuclear cells
UBE2QL1	5	F	Peripheral blood mononuclear cells
ZNF300	5	F	Peripheral blood mononuclear cells
AIF1	6	F	Peripheral blood mononuclear cells
ANKS1A	6	F	Peripheral blood mononuclear cells
ARG1	6	F	Peripheral blood mononuclear cells
BACH2	6	F	Peripheral blood mononuclear cells
BVES	6	F	Peripheral blood mononuclear cells
C6orf25	6	F	Peripheral blood mononuclear cells
CRISP2	6	F	Peripheral blood mononuclear cells
DUSP22	6	F	Peripheral blood mononuclear cells
EPB41L2	6	F	Peripheral blood mononuclear cells
GNL1	6	F	Peripheral blood mononuclear cells
GRIK2	6	F	Peripheral blood mononuclear cells
GTF2H4	6	F	Peripheral blood mononuclear cells
HFE	6	F	Peripheral blood mononuclear cells
HIST1H2BA	6	F	Peripheral blood mononuclear cells
HIST1H2BK	6	F	Peripheral blood mononuclear cells
HIST1H2BL	6	F	Peripheral blood mononuclear cells
HIST1H3A	6	F	Peripheral blood mononuclear cells
HIST1H3G	6	F	Peripheral blood mononuclear cells
HIST1H4B	6	F	Peripheral blood mononuclear cells
HIST1H4E	6	F	Peripheral blood mononuclear cells
HLA-DQB1	6	F	Peripheral blood mononuclear cells
HLA-DRB1	6	F	Peripheral blood mononuclear cells
HLA-DRB5	6	F	Peripheral blood mononuclear cells
IMPG1	6	F	Peripheral blood mononuclear cells
KHDRBS2	6	F	Peripheral blood mononuclear cells
LAMA2	6	F	Peripheral blood mononuclear cells
OR11A1	6	F	Peripheral blood mononuclear cells
PDE7B	6	F	Peripheral blood mononuclear cells
PIM1	6	F	Peripheral blood mononuclear cells
PLG	6	F	Peripheral blood mononuclear cells
PLN	6	F	Peripheral blood mononuclear cells
PTCHD4	6	F	Peripheral blood mononuclear cells
RAB23	6	F	Peripheral blood mononuclear cells
RNF144B	6	F	Peripheral blood mononuclear cells
SFT2D1	6	F	Peripheral blood mononuclear cells
SGK1	6	F	Peripheral blood mononuclear cells
SIRT5	6	F	Peripheral blood mononuclear cells
SOBP	6	F	Peripheral blood mononuclear cells
SYNGAP1	6	F	Peripheral blood mononuclear cells
TINAG	6	F	Peripheral blood mononuclear cells
TRERF1	6	F	Peripheral blood mononuclear cells
VIP	6	F	Peripheral blood mononuclear cells
VNN2	6	F	Peripheral blood mononuclear cells
AASS	7	F	Peripheral blood mononuclear cells
ADAM22	7	F	Peripheral blood mononuclear cells
ATG9B	7	F	Peripheral blood mononuclear cells
AVL9	7	F	Peripheral blood mononuclear cells
BAIAP2L1	7	F	Peripheral blood mononuclear cells
BRAF	7	F	Peripheral blood mononuclear cells
CALN1	7	F	Peripheral blood mononuclear cells
CDCA7L	7	F	Peripheral blood mononuclear cells
CDK14	7	F	Peripheral blood mononuclear cells
CDK6	7	F	Peripheral blood mononuclear cells
CEP41	7	F	Peripheral blood mononuclear cells
CNTNAP2	7	F	Peripheral blood mononuclear cells
CPED1	7	F	Peripheral blood mononuclear cells
CREB5	7	F	Peripheral blood mononuclear cells
CUX1	7	F	Peripheral blood mononuclear cells
DLX6	7	F	Peripheral blood mononuclear cells
EPO	7	F	Peripheral blood mononuclear cells
FKBP6	7	F	Peripheral blood mononuclear cells
GAL3ST4	7	F	Peripheral blood mononuclear cells
GATSL2	7	F	Peripheral blood mononuclear cells
GET4	7	F	Peripheral blood mononuclear cells
GNAI1	7	F	Peripheral blood mononuclear cells
GPR141	7	F	Peripheral blood mononuclear cells
GRM8	7	F	Peripheral blood mononuclear cells
HDAC9	7	F	Peripheral blood mononuclear cells
HOXA9	7	F	Peripheral blood mononuclear cells
LMTK2	7	F	Peripheral blood mononuclear cells
NFE2L3	7	F	Peripheral blood mononuclear cells
NOS3	7	F	Peripheral blood mononuclear cells
OPN1SW	7	F	Peripheral blood mononuclear cells
POLR2J3	7	F	Peripheral blood mononuclear cells
PPP1R3A	7	F	Peripheral blood mononuclear cells
PSPH	7	F	Peripheral blood mononuclear cells
RASA4	7	F	Peripheral blood mononuclear cells
SEMA3A	7	F	Peripheral blood mononuclear cells
SLC13A1	7	F	Peripheral blood mononuclear cells
SPDYE1	7	F	Peripheral blood mononuclear cells
SPDYE2	7	F	Peripheral blood mononuclear cells
SPDYE5	7	F	Peripheral blood mononuclear cells
STEAP4	7	F	Peripheral blood mononuclear cells
SUN1	7	F	Peripheral blood mononuclear cells
TPST1	7	F	Peripheral blood mononuclear cells
UPP1	7	F	Peripheral blood mononuclear cells
VIPR2	7	F	Peripheral blood mononuclear cells
WIPF3	7	F	Peripheral blood mononuclear cells
ZNF777	7	F	Peripheral blood mononuclear cells
ANGPT1	8	F	Peripheral blood mononuclear cells
ANK1	8	F	Peripheral blood mononuclear cells
C8orf4	8	F	Peripheral blood mononuclear cells
DEFA6	8	F	Peripheral blood mononuclear cells
DEPTOR	8	F	Peripheral blood mononuclear cells
ENPP2	8	F	Peripheral blood mononuclear cells
EXT1	8	F	Peripheral blood mononuclear cells
FAM83H	8	F	Peripheral blood mononuclear cells
FAM92A1	8	F	Peripheral blood mononuclear cells
HAS2	8	F	Peripheral blood mononuclear cells
MMP16	8	F	Peripheral blood mononuclear cells
MSR1	8	F	Peripheral blood mononuclear cells
NRG1	8	F	Peripheral blood mononuclear cells
PTK2	8	F	Peripheral blood mononuclear cells
PURG	8	F	Peripheral blood mononuclear cells
RHPN1	8	F	Peripheral blood mononuclear cells
SFRP1	8	F	Peripheral blood mononuclear cells
SPAG11B	8	F	Peripheral blood mononuclear cells
TACC1	8	F	Peripheral blood mononuclear cells
TMEM71	8	F	Peripheral blood mononuclear cells
TOX	8	F	Peripheral blood mononuclear cells
TRHR	8	F	Peripheral blood mononuclear cells
ASPN	9	F	Peripheral blood mononuclear cells
CDKN2B	9	F	Peripheral blood mononuclear cells
CNTNAP3B	9	F	Peripheral blood mononuclear cells
EPB41L4B	9	F	Peripheral blood mononuclear cells
FAM120AOS	9	F	Peripheral blood mononuclear cells
FIBCD1	9	F	Peripheral blood mononuclear cells
GADD45G	9	F	Peripheral blood mononuclear cells
GSN	9	F	Peripheral blood mononuclear cells
KANK1	9	F	Peripheral blood mononuclear cells
KIAA1161	9	F	Peripheral blood mononuclear cells
KIAA1958	9	F	Peripheral blood mononuclear cells
MLLT3	9	F	Peripheral blood mononuclear cells
MTAP	9	F	Peripheral blood mononuclear cells
OR1L6	9	F	Peripheral blood mononuclear cells
ORM1	9	F	Peripheral blood mononuclear cells
ORM2	9	F	Peripheral blood mononuclear cells
PHYHD1	9	F	Peripheral blood mononuclear cells
SEMA4D	9	F	Peripheral blood mononuclear cells
SLC28A3	9	F	Peripheral blood mononuclear cells
SLC31A1	9	F	Peripheral blood mononuclear cells
SPATA6L	9	F	Peripheral blood mononuclear cells
STOM	9	F	Peripheral blood mononuclear cells
TLE4	9	F	Peripheral blood mononuclear cells
TMEM2	9	F	Peripheral blood mononuclear cells
TMEM245	9	F	Peripheral blood mononuclear cells
TMEM38B	9	F	Peripheral blood mononuclear cells
TRBV21OR9-2	9	F	Peripheral blood mononuclear cells
MARCH8	10	F	Peripheral blood mononuclear cells
ANKRD30A	10	F	Peripheral blood mononuclear cells
ARHGAP12	10	F	Peripheral blood mononuclear cells
ARID5B	10	F	Peripheral blood mononuclear cells
ATRNL1	10	F	Peripheral blood mononuclear cells
BICC1	10	F	Peripheral blood mononuclear cells
C10orf53	10	F	Peripheral blood mononuclear cells
DNMBP	10	F	Peripheral blood mononuclear cells
FFAR4	10	F	Peripheral blood mononuclear cells
FGFR2	10	F	Peripheral blood mononuclear cells
IFIT1	10	F	Peripheral blood mononuclear cells
IFIT2	10	F	Peripheral blood mononuclear cells
IFIT3	10	F	Peripheral blood mononuclear cells
LIPA	10	F	Peripheral blood mononuclear cells
MFSD13A	10	F	Peripheral blood mononuclear cells
MKX	10	F	Peripheral blood mononuclear cells
NRP1	10	F	Peripheral blood mononuclear cells
PAPSS2	10	F	Peripheral blood mononuclear cells
PARD3	10	F	Peripheral blood mononuclear cells
RHOBTB1	10	F	Peripheral blood mononuclear cells
RTKN2	10	F	Peripheral blood mononuclear cells
TACR2	10	F	Peripheral blood mononuclear cells
TEX36	10	F	Peripheral blood mononuclear cells
WNT8B	10	F	Peripheral blood mononuclear cells
APBB1	11	F	Peripheral blood mononuclear cells
ATG16L2	11	F	Peripheral blood mononuclear cells
BACE1	11	F	Peripheral blood mononuclear cells
C11orf74	11	F	Peripheral blood mononuclear cells
C11orf95	11	F	Peripheral blood mononuclear cells
CD3E	11	F	Peripheral blood mononuclear cells
CHID1	11	F	Peripheral blood mononuclear cells
CNTN5	11	F	Peripheral blood mononuclear cells
CORO1B	11	F	Peripheral blood mononuclear cells
DDIAS	11	F	Peripheral blood mononuclear cells
EHF	11	F	Peripheral blood mononuclear cells
EIF3F	11	F	Peripheral blood mononuclear cells
FOLR2	11	F	Peripheral blood mononuclear cells
FZD4	11	F	Peripheral blood mononuclear cells
HBG1	11	F	Peripheral blood mononuclear cells
HBG2	11	F	Peripheral blood mononuclear cells
IFITM3	11	F	Peripheral blood mononuclear cells
IRF7	11	F	Peripheral blood mononuclear cells
LGR4	11	F	Peripheral blood mononuclear cells
MMP1	11	F	Peripheral blood mononuclear cells
MS4A4A	11	F	Peripheral blood mononuclear cells
MUC5AC	11	F	Peripheral blood mononuclear cells
MYEOV	11	F	Peripheral blood mononuclear cells
OR10A2	11	F	Peripheral blood mononuclear cells
OR2AG2	11	F	Peripheral blood mononuclear cells
OR2D2	11	F	Peripheral blood mononuclear cells
OR52E5	11	F	Peripheral blood mononuclear cells
OR56A3	11	F	Peripheral blood mononuclear cells
OR56A4	11	F	Peripheral blood mononuclear cells
OR5M10	11	F	Peripheral blood mononuclear cells
OR5M11	11	F	Peripheral blood mononuclear cells
PC	11	F	Peripheral blood mononuclear cells
PGA3	11	F	Peripheral blood mononuclear cells
PGA4	11	F	Peripheral blood mononuclear cells
PGA5	11	F	Peripheral blood mononuclear cells
PKNOX2	11	F	Peripheral blood mononuclear cells
RASGRP2	11	F	Peripheral blood mononuclear cells
RBM14	11	F	Peripheral blood mononuclear cells
RNF169	11	F	Peripheral blood mononuclear cells
RTN4RL2	11	F	Peripheral blood mononuclear cells
SCGB2A1	11	F	Peripheral blood mononuclear cells
SMPD1	11	F	Peripheral blood mononuclear cells
SYTL2	11	F	Peripheral blood mononuclear cells
TEX12	11	F	Peripheral blood mononuclear cells
TMEM134	11	F	Peripheral blood mononuclear cells
TMEM45B	11	F	Peripheral blood mononuclear cells
TMEM86A	11	F	Peripheral blood mononuclear cells
UNC93B1	11	F	Peripheral blood mononuclear cells
UNC93B6	11	F	Peripheral blood mononuclear cells
UPK2	11	F	Peripheral blood mononuclear cells
ZBTB16	11	F	Peripheral blood mononuclear cells
ZNF215	11	F	Peripheral blood mononuclear cells
ACRBP	12	F	Peripheral blood mononuclear cells
ACVRL1	12	F	Peripheral blood mononuclear cells
AICDA	12	F	Peripheral blood mononuclear cells
ARHGAP9	12	F	Peripheral blood mononuclear cells
ASIC1	12	F	Peripheral blood mononuclear cells
AVIL	12	F	Peripheral blood mononuclear cells
C12orf42	12	F	Peripheral blood mononuclear cells
CACNB3	12	F	Peripheral blood mononuclear cells
CD163	12	F	Peripheral blood mononuclear cells
CDK2	12	F	Peripheral blood mononuclear cells
CLEC4E	12	F	Peripheral blood mononuclear cells
CSAD	12	F	Peripheral blood mononuclear cells
FAIM2	12	F	Peripheral blood mononuclear cells
FGD6	12	F	Peripheral blood mononuclear cells
GLT8D2	12	F	Peripheral blood mononuclear cells
KCNH3	12	F	Peripheral blood mononuclear cells
LUM	12	F	Peripheral blood mononuclear cells
MFAP5	12	F	Peripheral blood mononuclear cells
MMP19	12	F	Peripheral blood mononuclear cells
"NAV3"	12	F	Peripheral blood mononuclear cells
NCOR2	12	F	Peripheral blood mononuclear cells
OAS1	12	F	Peripheral blood mononuclear cells
OAS3	12	F	Peripheral blood mononuclear cells
OASL	12	F	Peripheral blood mononuclear cells
PCED1B	12	F	Peripheral blood mononuclear cells
PDE3A	12	F	Peripheral blood mononuclear cells
PDZRN4	12	F	Peripheral blood mononuclear cells
PITPNM2	12	F	Peripheral blood mononuclear cells
SCN8A	12	F	Peripheral blood mononuclear cells
SETD1B	12	F	Peripheral blood mononuclear cells
SLC2A13	12	F	Peripheral blood mononuclear cells
SOCS2	12	F	Peripheral blood mononuclear cells
SSPN	12	F	Peripheral blood mononuclear cells
TPCN1	12	F	Peripheral blood mononuclear cells
TWF1	12	F	Peripheral blood mononuclear cells
CYSTM1	13	F	Peripheral blood mononuclear cells
DACH1	13	F	Peripheral blood mononuclear cells
EDNRB	13	F	Peripheral blood mononuclear cells
FLT1	13	F	Peripheral blood mononuclear cells
ITGBL1	13	F	Peripheral blood mononuclear cells
KCTD4	13	F	Peripheral blood mononuclear cells
KLHL1	13	F	Peripheral blood mononuclear cells
NBEA	13	F	Peripheral blood mononuclear cells
PCCA	13	F	Peripheral blood mononuclear cells
POU4F1	13	F	Peripheral blood mononuclear cells
RGCC	13	F	Peripheral blood mononuclear cells
TBC1D4	13	F	Peripheral blood mononuclear cells
TMEM255B	13	F	Peripheral blood mononuclear cells
ANKRD9	14	F	Peripheral blood mononuclear cells
DACT1	14	F	Peripheral blood mononuclear cells
DPF3	14	F	Peripheral blood mononuclear cells
DYNC1H1	14	F	Peripheral blood mononuclear cells
FRMD6	14	F	Peripheral blood mononuclear cells
GALC	14	F	Peripheral blood mononuclear cells
GALNT16	14	F	Peripheral blood mononuclear cells
GPX2	14	F	Peripheral blood mononuclear cells
IGHG1	14	F	Peripheral blood mononuclear cells
LGALS3	14	F	Peripheral blood mononuclear cells
LGMN	14	F	Peripheral blood mononuclear cells
NOVA1	14	F	Peripheral blood mononuclear cells
NPAS3	14	F	Peripheral blood mononuclear cells
PELI2	14	F	Peripheral blood mononuclear cells
RNASE3	14	F	Peripheral blood mononuclear cells
RPS6KL1	14	F	Peripheral blood mononuclear cells
SERPINA10	14	F	Peripheral blood mononuclear cells
SGPP1	14	F	Peripheral blood mononuclear cells
SLC39A9	14	F	Peripheral blood mononuclear cells
SLC7A8	14	F	Peripheral blood mononuclear cells
ZNF839	14	F	Peripheral blood mononuclear cells
ANPEP	15	F	Peripheral blood mononuclear cells
BMF	15	F	Peripheral blood mononuclear cells
FAM189A1	15	F	Peripheral blood mononuclear cells
FSD2	15	F	Peripheral blood mononuclear cells
GCOM1	15	F	Peripheral blood mononuclear cells
HYKK	15	F	Peripheral blood mononuclear cells
JMJD7-PLA2G4B	15	F	Peripheral blood mononuclear cells
MAN2C1	15	F	Peripheral blood mononuclear cells
NEDD4	15	F	Peripheral blood mononuclear cells
NR2E3	15	F	Peripheral blood mononuclear cells
NR2F2	15	F	Peripheral blood mononuclear cells
PCSK6	15	F	Peripheral blood mononuclear cells
RGMA	15	F	Peripheral blood mononuclear cells
STARD9	15	F	Peripheral blood mononuclear cells
TMOD2	15	F	Peripheral blood mononuclear cells
TRPM1	15	F	Peripheral blood mononuclear cells
UACA	15	F	Peripheral blood mononuclear cells
ADCY9	16	F	Peripheral blood mononuclear cells
ADGRG5	16	F	Peripheral blood mononuclear cells
BANP	16	F	Peripheral blood mononuclear cells
CARHSP1	16	F	Peripheral blood mononuclear cells
CDH1	16	F	Peripheral blood mononuclear cells
CMTM1	16	F	Peripheral blood mononuclear cells
CPNE2	16	F	Peripheral blood mononuclear cells
DNASE1	16	F	Peripheral blood mononuclear cells
DOK4	16	F	Peripheral blood mononuclear cells
EMP2	16	F	Peripheral blood mononuclear cells
ITGAX	16	F	Peripheral blood mononuclear cells
KATNB1	16	F	Peripheral blood mononuclear cells
KDM8	16	F	Peripheral blood mononuclear cells
MT1F	16	F	Peripheral blood mononuclear cells
MT1M	16	F	Peripheral blood mononuclear cells
MT2A	16	F	Peripheral blood mononuclear cells
MYH11	16	F	Peripheral blood mononuclear cells
PMFBP1	16	F	Peripheral blood mononuclear cells
SALL1	16	F	Peripheral blood mononuclear cells
SLC38A7	16	F	Peripheral blood mononuclear cells
SOCS1	16	F	Peripheral blood mononuclear cells
TPPP3	16	F	Peripheral blood mononuclear cells
TPSB2	16	F	Peripheral blood mononuclear cells
TSR3	16	F	Peripheral blood mononuclear cells
ZFHX3	16	F	Peripheral blood mononuclear cells
ZG16B	16	F	Peripheral blood mononuclear cells
ZNF646	16	F	Peripheral blood mononuclear cells
APOH	17	F	Peripheral blood mononuclear cells
ATP6V0A1	17	F	Peripheral blood mononuclear cells
AXIN2	17	F	Peripheral blood mononuclear cells
B9D1	17	F	Peripheral blood mononuclear cells
BAIAP2	17	F	Peripheral blood mononuclear cells
C17orf98	17	F	Peripheral blood mononuclear cells
CCDC57	17	F	Peripheral blood mononuclear cells
CCL8	17	F	Peripheral blood mononuclear cells
CCR7	17	F	Peripheral blood mononuclear cells
CD300E	17	F	Peripheral blood mononuclear cells
CEP112	17	F	Peripheral blood mononuclear cells
CFAP52	17	F	Peripheral blood mononuclear cells
CSHL1	17	F	Peripheral blood mononuclear cells
CSNK1D	17	F	Peripheral blood mononuclear cells
CTC1	17	F	Peripheral blood mononuclear cells
CUEDC1	17	F	Peripheral blood mononuclear cells
DCXR	17	F	Peripheral blood mononuclear cells
EPN2	17	F	Peripheral blood mononuclear cells
FSCN2	17	F	Peripheral blood mononuclear cells
GH2	17	F	Peripheral blood mononuclear cells
GIP	17	F	Peripheral blood mononuclear cells
GRB7	17	F	Peripheral blood mononuclear cells
KCNJ12	17	F	Peripheral blood mononuclear cells
KRT12	17	F	Peripheral blood mononuclear cells
KRT13	17	F	Peripheral blood mononuclear cells
KRT222	17	F	Peripheral blood mononuclear cells
KRT23	17	F	Peripheral blood mononuclear cells
KRTAP9-9	17	F	Peripheral blood mononuclear cells
LRRC37A2	17	F	Peripheral blood mononuclear cells
MINK1	17	F	Peripheral blood mononuclear cells
MMP28	17	F	Peripheral blood mononuclear cells
PECAM1	17	F	Peripheral blood mononuclear cells
PITPNC1	17	F	Peripheral blood mononuclear cells
PMP22	17	F	Peripheral blood mononuclear cells
RTN4RL1	17	F	Peripheral blood mononuclear cells
SLC26A11	17	F	Peripheral blood mononuclear cells
SLC43A2	17	F	Peripheral blood mononuclear cells
TEX14	17	F	Peripheral blood mononuclear cells
TOM1L2	17	F	Peripheral blood mononuclear cells
UBALD2	17	F	Peripheral blood mononuclear cells
CCDC102B	18	F	Peripheral blood mononuclear cells
CTDP1	18	F	Peripheral blood mononuclear cells
DLGAP1	18	F	Peripheral blood mononuclear cells
DSEL	18	F	Peripheral blood mononuclear cells
GNAL	18	F	Peripheral blood mononuclear cells
MAPRE2	18	F	Peripheral blood mononuclear cells
PHLPP1	18	F	Peripheral blood mononuclear cells
PTPRM	18	F	Peripheral blood mononuclear cells
SERPINB4	18	F	Peripheral blood mononuclear cells
SOCS6	18	F	Peripheral blood mononuclear cells
ZNF521	18	F	Peripheral blood mononuclear cells
ABCA7	19	F	Peripheral blood mononuclear cells
ADAMTS10	19	F	Peripheral blood mononuclear cells
ADAMTSL5	19	F	Peripheral blood mononuclear cells
ADGRE3	19	F	Peripheral blood mononuclear cells
ATP1A3	19	F	Peripheral blood mononuclear cells
ATP8B3	19	F	Peripheral blood mononuclear cells
C19orf44	19	F	Peripheral blood mononuclear cells
CC2D1A	19	F	Peripheral blood mononuclear cells
CD209	19	F	Peripheral blood mononuclear cells
CEACAM1	19	F	Peripheral blood mononuclear cells
CYP2B6	19	F	Peripheral blood mononuclear cells
DMWD	19	F	Peripheral blood mononuclear cells
FCGBP	19	F	Peripheral blood mononuclear cells
HCST	19	F	Peripheral blood mononuclear cells
IL4I1	19	F	Peripheral blood mononuclear cells
ISYNA1	19	F	Peripheral blood mononuclear cells
KCNK6	19	F	Peripheral blood mononuclear cells
KLK12	19	F	Peripheral blood mononuclear cells
LAIR1	19	F	Peripheral blood mononuclear cells
LIG1	19	F	Peripheral blood mononuclear cells
NFIX	19	F	Peripheral blood mononuclear cells
NLRP2	19	F	Peripheral blood mononuclear cells
NOSIP	19	F	Peripheral blood mononuclear cells
NUP62	19	F	Peripheral blood mononuclear cells
OR7A5	19	F	Peripheral blood mononuclear cells
OR7C2	19	F	Peripheral blood mononuclear cells
PLPPR3	19	F	Peripheral blood mononuclear cells
PTGIR	19	F	Peripheral blood mononuclear cells
RFX2	19	F	Peripheral blood mononuclear cells
RRAS	19	F	Peripheral blood mononuclear cells
SAE1	19	F	Peripheral blood mononuclear cells
SIGLEC11	19	F	Peripheral blood mononuclear cells
SIGLEC8	19	F	Peripheral blood mononuclear cells
SPPL2B	19	F	Peripheral blood mononuclear cells
TDRD12	19	F	Peripheral blood mononuclear cells
TECR	19	F	Peripheral blood mononuclear cells
TIMM13	19	F	Peripheral blood mononuclear cells
TLE2	19	F	Peripheral blood mononuclear cells
TMEM143	19	F	Peripheral blood mononuclear cells
TMEM38A	19	F	Peripheral blood mononuclear cells
TNNT1	19	F	Peripheral blood mononuclear cells
ZFR2	19	F	Peripheral blood mononuclear cells
ZNF155	19	F	Peripheral blood mononuclear cells
ZNF229	19	F	Peripheral blood mononuclear cells
ZNF404	19	F	Peripheral blood mononuclear cells
ZNF780B	19	F	Peripheral blood mononuclear cells
ABHD12	20	F	Peripheral blood mononuclear cells
DBNDD2	20	F	Peripheral blood mononuclear cells
EPB41L1	20	F	Peripheral blood mononuclear cells
GATA5	20	F	Peripheral blood mononuclear cells
GFRA4	20	F	Peripheral blood mononuclear cells
ISM1	20	F	Peripheral blood mononuclear cells
MROH8	20	F	Peripheral blood mononuclear cells
PCED1A	20	F	Peripheral blood mononuclear cells
PCIF1	20	F	Peripheral blood mononuclear cells
RTFDC1	20	F	Peripheral blood mononuclear cells
SEL1L2	20	F	Peripheral blood mononuclear cells
SEMG1	20	F	Peripheral blood mononuclear cells
SLC24A3	20	F	Peripheral blood mononuclear cells
SUN5	20	F	Peripheral blood mononuclear cells
C2CD2	21	F	Peripheral blood mononuclear cells
CLDN14	21	F	Peripheral blood mononuclear cells
CXADR	21	F	Peripheral blood mononuclear cells
KRTAP15-1	21	F	Peripheral blood mononuclear cells
OLIG1	21	F	Peripheral blood mononuclear cells
PLAC4	21	F	Peripheral blood mononuclear cells
PRDM15	21	F	Peripheral blood mononuclear cells
TIAM1	21	F	Peripheral blood mononuclear cells
AIFM3	22	F	Peripheral blood mononuclear cells
POLR2F	22	F	Peripheral blood mononuclear cells
PVALB	22	F	Peripheral blood mononuclear cells
SEC14L3	22	F	Peripheral blood mononuclear cells
SMTN	22	F	Peripheral blood mononuclear cells
TCF20	22	F	Peripheral blood mononuclear cells
XBP1	22	F	Peripheral blood mononuclear cells
ZC3H7B	22	F	Peripheral blood mononuclear cells
SEPT6	X	F	Peripheral blood mononuclear cells
ACE2	X	F	Peripheral blood mononuclear cells
ACRC	X	F	Peripheral blood mononuclear cells
ADGRG4	X	F	Peripheral blood mononuclear cells
AGTR2	X	F	Peripheral blood mononuclear cells
AKAP4	X	F	Peripheral blood mononuclear cells
ALG13	X	F	Peripheral blood mononuclear cells
AMOT	X	F	Peripheral blood mononuclear cells
ARHGAP6	X	F	Peripheral blood mononuclear cells
ARL13A	X	F	Peripheral blood mononuclear cells
ARSD	X	F	Peripheral blood mononuclear cells
ATP11C	X	F	Peripheral blood mononuclear cells
ATP2B3	X	F	Peripheral blood mononuclear cells
AVPR2	X	F	Peripheral blood mononuclear cells
AWAT2	X	F	Peripheral blood mononuclear cells
BEND2	X	F	Peripheral blood mononuclear cells
CA5B	X	F	Peripheral blood mononuclear cells
CAPN6	X	F	Peripheral blood mononuclear cells
CDK16	X	F	Peripheral blood mononuclear cells
CDR1	X	F	Peripheral blood mononuclear cells
CDX4	X	F	Peripheral blood mononuclear cells
CFAP47	X	F	Peripheral blood mononuclear cells
CNGA2	X	F	Peripheral blood mononuclear cells
CSAG2	X	F	Peripheral blood mononuclear cells
CT45A1	X	F	Peripheral blood mononuclear cells
CT45A2	X	F	Peripheral blood mononuclear cells
CT45A3	X	F	Peripheral blood mononuclear cells
CT45A5	X	F	Peripheral blood mononuclear cells
CT45A6	X	F	Peripheral blood mononuclear cells
CXorf36	X	F	Peripheral blood mononuclear cells
CXorf38	X	F	Peripheral blood mononuclear cells
DCAF12L1	X	F	Peripheral blood mononuclear cells
DCX	X	F	Peripheral blood mononuclear cells
DDX3X	X	F	Peripheral blood mononuclear cells
DGAT2L6	X	F	Peripheral blood mononuclear cells
DIAPH2	X	F	Peripheral blood mononuclear cells
DMD	X	F	Peripheral blood mononuclear cells
DUSP21	X	F	Peripheral blood mononuclear cells
EIF1AX	X	F	Peripheral blood mononuclear cells
EIF2S3	X	F	Peripheral blood mononuclear cells
ERCC6L	X	F	Peripheral blood mononuclear cells
FAM133A	X	F	Peripheral blood mononuclear cells
FRMPD4	X	F	Peripheral blood mononuclear cells
FUNDC1	X	F	Peripheral blood mononuclear cells
GABRA3	X	F	Peripheral blood mononuclear cells
GAGE12B	X	F	Peripheral blood mononuclear cells
GAGE12G	X	F	Peripheral blood mononuclear cells
GAGE12J	X	F	Peripheral blood mononuclear cells
GK	X	F	Peripheral blood mononuclear cells
GPR119	X	F	Peripheral blood mononuclear cells
GPR173	X	F	Peripheral blood mononuclear cells
GPR50	X	F	Peripheral blood mononuclear cells
GPR82	X	F	Peripheral blood mononuclear cells
HCFC1	X	F	Peripheral blood mononuclear cells
HEPH	X	F	Peripheral blood mononuclear cells
HSD17B10	X	F	Peripheral blood mononuclear cells
IGSF1	X	F	Peripheral blood mononuclear cells
IL13RA2	X	F	Peripheral blood mononuclear cells
IL1RAPL1	X	F	Peripheral blood mononuclear cells
IQSEC2	X	F	Peripheral blood mononuclear cells
ITM2A	X	F	Peripheral blood mononuclear cells
KDM5C	X	F	Peripheral blood mononuclear cells
KDM6A	X	F	Peripheral blood mononuclear cells
KLHL13	X	F	Peripheral blood mononuclear cells
LHFPL1	X	F	Peripheral blood mononuclear cells
LPAR4	X	F	Peripheral blood mononuclear cells
LRCH2	X	F	Peripheral blood mononuclear cells
MAGEA1	X	F	Peripheral blood mononuclear cells
MAGEA9	X	F	Peripheral blood mononuclear cells
MAGEB16	X	F	Peripheral blood mononuclear cells
MAGEB18	X	F	Peripheral blood mononuclear cells
MAGEB3	X	F	Peripheral blood mononuclear cells
MAP7D2	X	F	Peripheral blood mononuclear cells
