gene	male-fetus-fine-3
1	-0.023465345229470337
10	0
100	-0.012850890191593748
1000	0
10000	0
100009676	0
10001	0
10002	0
10003	0
10004	0
100048912	-0.01607351704899747
10005	0
10006	0
10007	0
10008	0
10009	0
100093630	0
100093698	0
1001	0
10010	0
100101467	0
100101938	0
10011	0
100113407	0
100124700	0
100125288	2.4105628259767748e-4
100126791	0
100126793	0
100127888	0
100127983	0
100128025	0
100128071	0
100128098	0
100128124	0
100128126	0
100128139	0
100128164	0
100128191	0
100128239	0
100128325	0
100128554	0
100128590	0
100128640	0
100128731	0
100128750	0
100128782	0
100128788	0
100128881	0
100128893	9.339524710113018e-4
100128927	0
100128946	0
100129128	0
100129175	0
100129195	0
100129196	0
100129250	0
100129271	0
100129361	0
100129427	0
100129461	0
100129482	0
100129503	0
100129550	0
100129597	0
100129620	0
100129654	0
100129662	0
100129716	0
100129722	0
100129726	0
100129792	0.005523032966187718
100129794	0
100129827	0
100129845	0
100129858	0
100129917	0
100129935	0
10013	0
100130155	0
100130249	0
100130264	0
100130331	0
100130357	0
100130449	0.0047480070065077165
100130476	0
100130519	0
100130522	0
100130548	0
100130613	0
100130691	0
100130705	0
100130717	0
100130733	0.007680728955633064
100130776	0
100130894	0
100130933	0
100130950	0
100130958	0
100130967	0
100131017	0
100131067	0
100131117	0
100131138	0
100131187	0.023385751926654024
100131211	0
100131213	0
100131303	0
100131347	0
100131366	0
100131434	0
100131496	0
100131655	0
100131691	0
100131755	0
100131801	0
100131814	0
100131816	0
100132074	0
100132078	0
100132341	0
100132386	0
100132464	0
100132476	0
100132596	0
100132677	0
100132891	-0.010663692000292956
100133205	0
100133311	0
100133461	0
100133612	0
100133941	0.034204224391660175
100133985	0
100134229	0
100134259	0
100134368	0
100134713	0
100137047	0
10014	0
100141515	0
100144597	0
100144602	0.015469224575387758
100144603	0
100144748	0
10015	0
10016	0
100169752	0
100169989	0
10017	0
100170229	0
100170765	0
100170841	-0.014255361995788989
10018	0
100188893	0
100188953	0
100189589	0
10019	0
100190938	0
100192379	0
100192386	0
1002	0
10020	0
10021	0
10022	0
10023	0
10024	0
10025	0
10026	0
100268168	0
100270679	0
100272147	0
100286844	0
100287015	0
100287114	0
100287177	0
100287366	0
100287482	0
100287569	0
100287616	0
100287814	0
100287896	0
100287902	0
100287932	0
100288079	0
100288122	0
100288198	0
100288413	0
100288637	0
100288797	0
100289092	0
100289097	0
100289098	0
100289187	0
100289274	0
100289341	0
100289373	0
100289495	0
100289635	0
100289678	0
100292680	0
100293516	0
100294362	0
100294720	0
1003	0.016883735622725715
100302691	0
100303728	0
100303755	0
100306951	0.007118166843490368
100316904	0.004246209132325909
100329135	0
100359394	0
10036	0
100379174	0
10038	0
100381270	0
10039	-0.011742538406282034
1004	0
10040	-0.01010291341657662
10042	0
100422737	0
10043	0
10044	0.0026242475195907304
10045	0
10046	0
10047	0
10048	0
10049	0
100499171	0
1005	0
10050	0
100500850	0
100505474	0
100505478	0
100505495	0.006527578001708661
100505501	0
100505515	0
100505538	0
100505540	0
100505545	0
100505549	0
100505573	0
100505583	0
100505609	0
100505616	0
100505619	0
100505622	0
100505624	0
100505641	0
100505658	0
100505659	0
100505664	0
100505676	0
