group_one	group_two	intersection	union	jaccard
RNAseq_female_adolescent_1	RNAseq_female_adolescent_1	5033	5033	1
RNAseq_female_adolescent_1	RNAseq_female_adolescent_2	2357	6828	0.34519625073227883
RNAseq_female_adolescent_1	RNAseq_female_adolescent_3	2976	6656	0.44711538461538464
RNAseq_female_adolescent_1	RNAseq_female_adult_1	1511	9110	0.1658616904500549
RNAseq_female_adolescent_1	RNAseq_female_adult_2	1429	8467	0.1687728829573639
RNAseq_female_adolescent_1	RNAseq_female_adult_3	1480	8696	0.1701931922723091
RNAseq_female_adolescent_1	RNAseq_female_child_1	859	8601	0.09987210789443088
RNAseq_female_adolescent_1	RNAseq_female_child_2	837	7864	0.10643438453713124
RNAseq_female_adolescent_1	RNAseq_female_child_3	1023	8482	0.12060834708795096
RNAseq_female_adolescent_1	RNAseq_female_elderly_1	1094	7602	0.14390949750065773
RNAseq_female_adolescent_1	RNAseq_female_elderly_2	1107	7560	0.14642857142857144
RNAseq_female_adolescent_1	RNAseq_female_elderly_3	1087	7448	0.1459452201933405
RNAseq_female_adolescent_1	RNAseq_female_fetus_1	209	5495	0.038034576888080075
RNAseq_female_adolescent_1	RNAseq_female_fetus_2	191	5440	0.03511029411764706
RNAseq_female_adolescent_1	RNAseq_female_fetus_3	256	5565	0.04600179694519317
RNAseq_female_adolescent_1	RNAseq_female_infant_1	561	6266	0.08953080114905841
RNAseq_female_adolescent_1	RNAseq_female_infant_2	620	6483	0.09563473700447324
RNAseq_female_adolescent_1	RNAseq_female_infant_3	570	6197	0.09197999031789576
RNAseq_female_adolescent_1	RNAseq_female_middle_adult_1	1691	9565	0.1767903815995818
RNAseq_female_adolescent_1	RNAseq_female_middle_adult_2	1668	9405	0.1773524720893142
RNAseq_female_adolescent_1	RNAseq_female_middle_adult_3	1638	9360	0.175
RNAseq_female_adolescent_1	RNAseq_female_old_adult_1	1256	8216	0.1528724440116845
RNAseq_female_adolescent_1	RNAseq_female_old_adult_2	1447	8678	0.16674348928324498
RNAseq_female_adolescent_1	RNAseq_female_old_adult_3	1303	8255	0.15784373107207753
RNAseq_female_adolescent_1	RNAseq_female_older_adult_1	1508	8812	0.17113027689514299
RNAseq_female_adolescent_1	RNAseq_female_older_adult_2	1585	8768	0.18077098540145986
RNAseq_female_adolescent_1	RNAseq_female_older_adult_3	1624	8825	0.1840226628895184
RNAseq_female_adolescent_1	RNAseq_female_young_adult_1	1365	9069	0.15051273569302018
RNAseq_female_adolescent_1	RNAseq_female_young_adult_2	1600	8913	0.1795130707954673
RNAseq_female_adolescent_1	RNAseq_female_young_adult_3	1410	8987	0.156893290308223
RNAseq_female_adolescent_1	RNAseq_female_young_child_1	986	7907	0.12469963323637283
RNAseq_female_adolescent_1	RNAseq_female_young_child_2	991	7331	0.1351793752557632
RNAseq_female_adolescent_1	RNAseq_female_young_child_3	1091	8064	0.13529265873015872
RNAseq_female_adolescent_1	RNAseq_male_adolescent_1	1936	8366	0.23141286158259622
RNAseq_female_adolescent_1	RNAseq_male_adolescent_2	1640	8047	0.20380265937616504
RNAseq_female_adolescent_1	RNAseq_male_adolescent_3	1737	8448	0.20561079545454544
RNAseq_female_adolescent_1	RNAseq_male_adult_1	1569	8836	0.1775690357627886
RNAseq_female_adolescent_1	RNAseq_male_adult_2	1630	8866	0.18384840965486127
RNAseq_female_adolescent_1	RNAseq_male_adult_3	1700	9071	0.18741042883915776
RNAseq_female_adolescent_1	RNAseq_male_child_1	1394	7785	0.17906229929351317
RNAseq_female_adolescent_1	RNAseq_male_child_2	1376	7845	0.1753983428935628
RNAseq_female_adolescent_1	RNAseq_male_child_3	1434	8019	0.17882528993640104
RNAseq_female_adolescent_1	RNAseq_male_elderly_1	778	6727	0.11565333729745801
RNAseq_female_adolescent_1	RNAseq_male_elderly_2	1043	7421	0.1405470960786956
RNAseq_female_adolescent_1	RNAseq_male_elderly_3	998	7315	0.13643198906356802
RNAseq_female_adolescent_1	RNAseq_male_fetus_1	299	5649	0.052929722074703485
RNAseq_female_adolescent_1	RNAseq_male_fetus_2	253	5609	0.045106079515065074
RNAseq_female_adolescent_1	RNAseq_male_fetus_3	287	5670	0.050617283950617285
RNAseq_female_adolescent_1	RNAseq_male_infant_1	690	6452	0.1069435833849969
RNAseq_female_adolescent_1	RNAseq_male_infant_2	746	6779	0.11004572945862222
RNAseq_female_adolescent_1	RNAseq_male_infant_3	633	6523	0.09704123869385252
RNAseq_female_adolescent_1	RNAseq_male_middle_adult_1	1737	9554	0.18180866652710906
RNAseq_female_adolescent_1	RNAseq_male_middle_adult_2	1691	9349	0.18087495988875815
RNAseq_female_adolescent_1	RNAseq_male_middle_adult_3	1727	9642	0.17911221738228583
RNAseq_female_adolescent_1	RNAseq_male_old_adult_1	1473	8372	0.17594362159579552
RNAseq_female_adolescent_1	RNAseq_male_old_adult_2	1416	8515	0.16629477392836173
RNAseq_female_adolescent_1	RNAseq_male_old_adult_3	1432	8329	0.17192940328971065
RNAseq_female_adolescent_1	RNAseq_male_older_adult_1	1601	9212	0.17379504993486755
RNAseq_female_adolescent_1	RNAseq_male_older_adult_2	1705	9274	0.18384731507440155
RNAseq_female_adolescent_1	RNAseq_male_older_adult_3	1621	9060	0.17891832229580573
RNAseq_female_adolescent_1	RNAseq_male_young_adult_1	1662	8783	0.18922919275873848
RNAseq_female_adolescent_1	RNAseq_male_young_adult_2	1603	8827	0.18160190325138778
RNAseq_female_adolescent_1	RNAseq_male_young_adult_3	1733	9026	0.19200088632838466
RNAseq_female_adolescent_1	RNAseq_male_young_child_1	1257	7876	0.159598781107161
RNAseq_female_adolescent_1	RNAseq_male_young_child_2	1268	7767	0.16325479593150508
RNAseq_female_adolescent_1	RNAseq_male_young_child_3	1325	7939	0.1668975941554352
RNAseq_female_adolescent_1	microarray_female_adolescent_1	2135	10351	0.2062602647087238
RNAseq_female_adolescent_1	microarray_female_adolescent_2	1857	9474	0.19601013299556683
RNAseq_female_adolescent_1	microarray_female_adolescent_3	1801	9327	0.1930953146778171
RNAseq_female_adolescent_1	microarray_female_adult_1	2264	11019	0.205463290679735
RNAseq_female_adolescent_1	microarray_female_adult_2	2128	10647	0.19986850756081526
RNAseq_female_adolescent_1	microarray_female_adult_3	2166	10881	0.19906258615936034
RNAseq_female_adolescent_1	microarray_female_child_1	1271	8265	0.15378100423472474
RNAseq_female_adolescent_1	microarray_female_child_2	1444	8539	0.1691064527462232
RNAseq_female_adolescent_1	microarray_female_child_3	1517	8886	0.170717983344587
RNAseq_female_adolescent_1	microarray_female_elderly_1	1742	9299	0.18733197117969674
RNAseq_female_adolescent_1	microarray_female_elderly_2	1889	9972	0.18943040513437626
RNAseq_female_adolescent_1	microarray_female_elderly_3	1920	10015	0.19171243135297053
