group_one	group_two	intersection	union	jaccard
RNAseq_female_adolescent_1	RNAseq_female_adolescent_1	5204	5204	1
RNAseq_female_adolescent_1	RNAseq_female_adolescent_2	2482	6912	0.35908564814814814
RNAseq_female_adolescent_1	RNAseq_female_adolescent_3	3102	6900	0.44956521739130434
RNAseq_female_adolescent_1	RNAseq_female_adult_1	1604	9265	0.17312466270912036
RNAseq_female_adolescent_1	RNAseq_female_adult_2	1543	8902	0.1733318355425747
RNAseq_female_adolescent_1	RNAseq_female_adult_3	1545	8944	0.17274150268336314
RNAseq_female_adolescent_1	RNAseq_female_child_1	908	8754	0.1037240118802833
RNAseq_female_adolescent_1	RNAseq_female_child_2	842	8083	0.1041692440925399
RNAseq_female_adolescent_1	RNAseq_female_child_3	1062	8717	0.12183090512791098
RNAseq_female_adolescent_1	RNAseq_female_elderly_1	1138	7799	0.14591614309526862
RNAseq_female_adolescent_1	RNAseq_female_elderly_2	1202	7994	0.1503627720790593
RNAseq_female_adolescent_1	RNAseq_female_elderly_3	1154	7840	0.1471938775510204
RNAseq_female_adolescent_1	RNAseq_female_fetus_1	261	5644	0.046243798724309
RNAseq_female_adolescent_1	RNAseq_female_fetus_2	266	5658	0.04701307882644044
RNAseq_female_adolescent_1	RNAseq_female_fetus_3	307	5748	0.05340988169798191
RNAseq_female_adolescent_1	RNAseq_female_infant_1	638	6443	0.09902219462983082
RNAseq_female_adolescent_1	RNAseq_female_infant_2	729	6574	0.1108913903255248
RNAseq_female_adolescent_1	RNAseq_female_infant_3	655	6515	0.10053722179585571
RNAseq_female_adolescent_1	RNAseq_female_middle_adult_1	1709	9753	0.17522813493284117
RNAseq_female_adolescent_1	RNAseq_female_middle_adult_2	1753	9538	0.18379115118473474
RNAseq_female_adolescent_1	RNAseq_female_middle_adult_3	1752	9513	0.18416903185115105
RNAseq_female_adolescent_1	RNAseq_female_old_adult_1	1362	8512	0.1600093984962406
RNAseq_female_adolescent_1	RNAseq_female_old_adult_2	1545	8918	0.17324512222471405
RNAseq_female_adolescent_1	RNAseq_female_old_adult_3	1387	8477	0.16361920490739648
RNAseq_female_adolescent_1	RNAseq_female_older_adult_1	1552	8933	0.173737826038285
RNAseq_female_adolescent_1	RNAseq_female_older_adult_2	1619	8837	0.18320697069141112
RNAseq_female_adolescent_1	RNAseq_female_older_adult_3	1621	8884	0.18246285457001352
RNAseq_female_adolescent_1	RNAseq_female_young_adult_1	1464	9138	0.16021011162179907
RNAseq_female_adolescent_1	RNAseq_female_young_adult_2	1602	9054	0.17693836978131214
RNAseq_female_adolescent_1	RNAseq_female_young_adult_3	1531	9063	0.16892861083526425
RNAseq_female_adolescent_1	RNAseq_female_young_child_1	1066	8273	0.12885289495950683
RNAseq_female_adolescent_1	RNAseq_female_young_child_2	1045	7609	0.1373373636483112
RNAseq_female_adolescent_1	RNAseq_female_young_child_3	1214	8459	0.14351578200732948
RNAseq_female_adolescent_1	RNAseq_male_adolescent_1	1988	8662	0.22950819672131148
RNAseq_female_adolescent_1	RNAseq_male_adolescent_2	1722	8301	0.20744488615829418
RNAseq_female_adolescent_1	RNAseq_male_adolescent_3	1886	8749	0.21556749342782033
RNAseq_female_adolescent_1	RNAseq_male_adult_1	1691	9110	0.18562019758507134
RNAseq_female_adolescent_1	RNAseq_male_adult_2	1717	9099	0.18870205517089791
RNAseq_female_adolescent_1	RNAseq_male_adult_3	1734	9286	0.18673271591643334
RNAseq_female_adolescent_1	RNAseq_male_child_1	1422	8081	0.17596832075238214
RNAseq_female_adolescent_1	RNAseq_male_child_2	1506	8143	0.184944123787302
RNAseq_female_adolescent_1	RNAseq_male_child_3	1523	8324	0.18296492071119655
RNAseq_female_adolescent_1	RNAseq_male_elderly_1	836	6805	0.12285084496693607
RNAseq_female_adolescent_1	RNAseq_male_elderly_2	1134	7615	0.14891661195009848
RNAseq_female_adolescent_1	RNAseq_male_elderly_3	1108	7502	0.14769394828045854
RNAseq_female_adolescent_1	RNAseq_male_fetus_1	376	5885	0.06389124893797792
RNAseq_female_adolescent_1	RNAseq_male_fetus_2	368	5850	0.06290598290598291
RNAseq_female_adolescent_1	RNAseq_male_fetus_3	339	5842	0.05802807257788429
RNAseq_female_adolescent_1	RNAseq_male_infant_1	816	6799	0.12001764965436093
RNAseq_female_adolescent_1	RNAseq_male_infant_2	911	7022	0.12973511819994304
RNAseq_female_adolescent_1	RNAseq_male_infant_3	738	6787	0.10873729188153823
RNAseq_female_adolescent_1	RNAseq_male_middle_adult_1	1769	9676	0.18282348077718066
RNAseq_female_adolescent_1	RNAseq_male_middle_adult_2	1778	9541	0.1863536316947909
RNAseq_female_adolescent_1	RNAseq_male_middle_adult_3	1848	9814	0.18830242510699002
RNAseq_female_adolescent_1	RNAseq_male_old_adult_1	1505	8664	0.1737072945521699
RNAseq_female_adolescent_1	RNAseq_male_old_adult_2	1486	8672	0.1713560885608856
RNAseq_female_adolescent_1	RNAseq_male_old_adult_3	1464	8665	0.16895556837853434
RNAseq_female_adolescent_1	RNAseq_male_older_adult_1	1735	9374	0.18508640921698313
RNAseq_female_adolescent_1	RNAseq_male_older_adult_2	1849	9368	0.1973740392826644
RNAseq_female_adolescent_1	RNAseq_male_older_adult_3	1677	9185	0.18258029395753947
RNAseq_female_adolescent_1	RNAseq_male_young_adult_1	1728	8923	0.19365684186932647
RNAseq_female_adolescent_1	RNAseq_male_young_adult_2	1679	9084	0.18483047115808013
RNAseq_female_adolescent_1	RNAseq_male_young_adult_3	1850	9034	0.2047819349125526
RNAseq_female_adolescent_1	RNAseq_male_young_child_1	1310	8023	0.1632805683659479
RNAseq_female_adolescent_1	RNAseq_male_young_child_2	1259	7822	0.16095627716696498
RNAseq_female_adolescent_1	RNAseq_male_young_child_3	1392	8102	0.17180942977042704
RNAseq_female_adolescent_1	microarray_female_adolescent_1	1980	9711	0.20389249304911955
RNAseq_female_adolescent_1	microarray_female_adolescent_2	2047	9957	0.20558401124836798
RNAseq_female_adolescent_1	microarray_female_adolescent_3	1912	9565	0.1998954521693675
RNAseq_female_adolescent_1	microarray_female_adult_1	2233	10904	0.2047872340425532
RNAseq_female_adolescent_1	microarray_female_adult_2	2350	10987	0.21388914171293347
RNAseq_female_adolescent_1	microarray_female_adult_3	2312	11042	0.20938235826842963
RNAseq_female_adolescent_1	microarray_female_child_1	1458	8549	0.17054626272078605
RNAseq_female_adolescent_1	microarray_female_child_2	1591	8927	0.178223367312647
RNAseq_female_adolescent_1	microarray_female_child_3	1775	9286	0.1911479646780099
RNAseq_female_adolescent_1	microarray_female_elderly_1	1884	9952	0.18930868167202572
RNAseq_female_adolescent_1	microarray_female_elderly_2	2042	10292	0.19840652934317918
RNAseq_female_adolescent_1	microarray_female_elderly_3	2016	10312	0.19550038789759502
RNAseq_female_adolescent_1	microarray_female_fetus_1	699	6707	0.10421947219323095
RNAseq_female_adolescent_1	microarray_female_fetus_2	722	6728	0.1073127229488704
RNAseq_female_adolescent_1	microarray_female_fetus_3	628	6538	0.09605383909452432
RNAseq_female_adolescent_1	microarray_female_infant_1	1342	8381	0.16012409020403293
