go_id	go_name	gene_count
GO:0044537	regulation of circulating fibrinogen levels	4
GO:0061754	negative regulation of circulating fibrinogen levels	4
GO:0006958	complement activation, classical pathway	66
GO:0019724	B cell mediated immunity	75
GO:0016064	immunoglobulin mediated immune response	72
GO:0002455	humoral immune response mediated by circulating immunoglobulin	69
GO:0010663	positive regulation of striated muscle cell apoptotic process	2
GO:0010666	positive regulation of cardiac muscle cell apoptotic process	2
GO:0021533	cell differentiation in hindbrain	2
GO:0030902	hindbrain development	5
GO:0060896	neural plate pattern specification	1
GO:0060897	neural plate regionalization	1
GO:0021999	neural plate anterior/posterior regionalization	1
GO:0042474	middle ear morphogenesis	1
GO:0060825	fibroblast growth factor receptor signaling pathway involved in neural plate anterior/posterior pattern formation	1
GO:2000313	regulation of fibroblast growth factor receptor signaling pathway involved in neural plate anterior/posterior pattern formation	1
GO:0072498	embryonic skeletal joint development	3
GO:0060272	embryonic skeletal joint morphogenesis	2
GO:0060300	regulation of cytokine activity	3
GO:0060302	negative regulation of cytokine activity	2
GO:1904464	regulation of matrix metallopeptidase secretion	8
GO:1904465	negative regulation of matrix metallopeptidase secretion	6
GO:1905828	regulation of prostaglandin catabolic process	1
GO:1901624	negative regulation of lymphocyte chemotaxis	4
GO:2000502	negative regulation of natural killer cell chemotaxis	3
GO:0043615	astrocyte cell migration	1
GO:2000647	negative regulation of stem cell proliferation	6
GO:0032910	regulation of transforming growth factor beta3 production	1
GO:0032913	negative regulation of transforming growth factor beta3 production	1
GO:0032595	B cell receptor transport within lipid bilayer	1
GO:0032597	B cell receptor transport into membrane raft	1
GO:0035850	epithelial cell differentiation involved in kidney development	3
GO:0061005	cell differentiation involved in kidney development	3
GO:0072311	glomerular epithelial cell differentiation	2
GO:0072112	glomerular visceral epithelial cell differentiation	2
GO:0072139	glomerular parietal epithelial cell differentiation	2
GO:0072010	glomerular epithelium development	2
GO:0061318	renal filtration cell differentiation	2
GO:2000768	positive regulation of nephron tubule epithelial cell differentiation	2
GO:0032835	glomerulus development	6
GO:2000696	regulation of epithelial cell differentiation involved in kidney development	4
GO:0072182	regulation of nephron tubule epithelial cell differentiation	3
GO:2000698	positive regulation of epithelial cell differentiation involved in kidney development	3
GO:1903044	protein localization to membrane raft	4
GO:0032594	protein transport within lipid bilayer	2
GO:0032596	protein transport into membrane raft	2
GO:0071634	regulation of transforming growth factor beta production	21
GO:0071635	negative regulation of transforming growth factor beta production	6
GO:0042035	regulation of cytokine biosynthetic process	8
GO:0009249	protein lipoylation	5
GO:0006711	estrogen catabolic process	1
GO:1903961	positive regulation of anion transmembrane transport	5
GO:1901529	positive regulation of anion channel activity	3
GO:2000295	regulation of hydrogen peroxide catabolic process	2
GO:2000296	negative regulation of hydrogen peroxide catabolic process	1
GO:1905460	negative regulation of vascular associated smooth muscle cell apoptotic process	5
GO:1904073	regulation of trophectodermal cell proliferation	1
GO:1904075	positive regulation of trophectodermal cell proliferation	1
GO:0060281	regulation of oocyte development	1
GO:0060283	negative regulation of oocyte development	1
GO:0014834	skeletal muscle satellite cell maintenance involved in skeletal muscle regeneration	1
GO:0051450	myoblast proliferation	1
GO:1905879	regulation of oogenesis	1
GO:0061050	regulation of cell growth involved in cardiac muscle cell development	4
GO:0061051	positive regulation of cell growth involved in cardiac muscle cell development	4
GO:0046620	regulation of organ growth	15
GO:0055021	regulation of cardiac muscle tissue growth	12
GO:0060420	regulation of heart growth	12
GO:0060421	positive regulation of heart growth	9
GO:0046622	positive regulation of organ growth	9
GO:0055023	positive regulation of cardiac muscle tissue growth	9
GO:0090370	negative regulation of cholesterol efflux	14
GO:0010889	regulation of sequestering of triglyceride	8
GO:0010890	positive regulation of sequestering of triglyceride	3
GO:0071404	cellular response to low-density lipoprotein particle stimulus	8
GO:0055095	lipoprotein particle mediated signaling	2
GO:0055096	low-density lipoprotein particle mediated signaling	2
GO:0014911	positive regulation of smooth muscle cell migration	24
GO:0048660	regulation of smooth muscle cell proliferation	94
GO:0048661	positive regulation of smooth muscle cell proliferation	47
GO:1904705	regulation of vascular associated smooth muscle cell proliferation	62
GO:1904707	positive regulation of vascular associated smooth muscle cell proliferation	31
GO:0032675	regulation of interleukin-6 production	94
GO:0032755	positive regulation of interleukin-6 production	52
GO:0050999	regulation of nitric-oxide synthase activity	34
