go_id	go_name	gene_count
GO:1904046	negative regulation of vascular endothelial growth factor production	7
GO:0043567	regulation of insulin-like growth factor receptor signaling pathway	10
GO:1905049	negative regulation of metallopeptidase activity	9
GO:1904683	regulation of metalloendopeptidase activity	9
GO:1905048	regulation of metallopeptidase activity	18
GO:0044030	regulation of DNA methylation	11
GO:0110022	regulation of cardiac muscle myoblast proliferation	7
GO:2000291	regulation of myoblast proliferation	11
GO:0006968	cellular defense response	46
GO:0002523	leukocyte migration involved in inflammatory response	6
GO:0070486	leukocyte aggregation	10
GO:0006882	cellular zinc ion homeostasis	10
GO:0051238	sequestering of metal ion	7
GO:0042100	B cell proliferation	8
GO:0015671	oxygen transport	6
GO:0015669	gas transport	9
GO:0070293	renal absorption	8
GO:0031579	membrane raft organization	16
GO:0051969	regulation of transmission of nerve impulse	6
GO:0010359	regulation of anion channel activity	8
GO:0047484	regulation of response to osmotic stress	9
GO:0090399	replicative senescence	8
GO:0010771	negative regulation of cell morphogenesis involved in differentiation	9
GO:1900025	negative regulation of substrate adhesion-dependent cell spreading	9
GO:0072672	neutrophil extravasation	6
GO:0006563	L-serine metabolic process	10
GO:0006564	L-serine biosynthetic process	6
GO:0002888	positive regulation of myeloid leukocyte mediated immunity	7
GO:0010755	regulation of plasminogen activation	9
GO:0051918	negative regulation of fibrinolysis	8
GO:0035455	response to interferon-alpha	14
GO:1902563	regulation of neutrophil activation	7
GO:0042574	retinal metabolic process	10
GO:0034694	response to prostaglandin	9
GO:0042448	progesterone metabolic process	8
GO:0030638	polyketide metabolic process	9
GO:0030647	aminoglycoside antibiotic metabolic process	9
GO:0044597	daunorubicin metabolic process	9
GO:0044598	doxorubicin metabolic process	9
GO:0008300	isoprenoid catabolic process	8
GO:0016115	terpenoid catabolic process	6
GO:0048385	regulation of retinoic acid receptor signaling pathway	11
GO:0030656	regulation of vitamin metabolic process	9
GO:0032351	negative regulation of hormone metabolic process	9
GO:0046137	negative regulation of vitamin metabolic process	6
GO:0031392	regulation of prostaglandin biosynthetic process	6
GO:2001279	regulation of unsaturated fatty acid biosynthetic process	6
GO:0045080	NA	6
GO:2001269	positive regulation of cysteine-type endopeptidase activity involved in apoptotic signaling pathway	7
GO:0002377	immunoglobulin production	9
GO:0002396	MHC protein complex assembly	6
GO:0045657	positive regulation of monocyte differentiation	7
GO:0034127	regulation of MyD88-independent toll-like receptor signaling pathway	7
GO:0034128	negative regulation of MyD88-independent toll-like receptor signaling pathway	7
GO:0030007	cellular potassium ion homeostasis	8
GO:0055075	potassium ion homeostasis	10
GO:0003094	glomerular filtration	6
GO:0097205	renal filtration	7
GO:0002727	regulation of natural killer cell cytokine production	6
GO:0002729	positive regulation of natural killer cell cytokine production	6
GO:0002643	regulation of tolerance induction	7
GO:0002480	antigen processing and presentation of exogenous peptide antigen via MHC class I, TAP-independent	9
GO:0042270	protection from natural killer cell mediated cytotoxicity	6
GO:0002347	response to tumor cell	8
GO:2000544	regulation of endothelial cell chemotaxis to fibroblast growth factor	10
GO:0030889	negative regulation of B cell proliferation	6
GO:0090205	positive regulation of cholesterol metabolic process	6
GO:2001185	regulation of CD8-positive, alpha-beta T cell activation	7
GO:0019885	antigen processing and presentation of endogenous peptide antigen via MHC class I	9
GO:1990668	vesicle fusion with endoplasmic reticulum-Golgi intermediate compartment (ERGIC) membrane	6
GO:0010818	T cell chemotaxis	9
GO:1902430	negative regulation of amyloid-beta formation	10
GO:1900221	regulation of amyloid-beta clearance	9
GO:1905906	regulation of amyloid fibril formation	6
GO:0035094	response to nicotine	13
GO:0045343	regulation of MHC class I biosynthetic process	6
GO:0072321	chaperone-mediated protein transport	10
GO:0002725	negative regulation of T cell cytokine production	6
GO:1900122	positive regulation of receptor binding	6
GO:0097066	response to thyroid hormone	7
GO:0097067	cellular response to thyroid hormone stimulus	7
GO:1990000	amyloid fibril formation	10
GO:0046598	positive regulation of viral entry into host cell	9
GO:0075294	positive regulation by symbiont of entry into host	9
GO:2000501	regulation of natural killer cell chemotaxis	8
GO:0048245	eosinophil chemotaxis	8
GO:0072677	eosinophil migration	8
GO:0002861	regulation of inflammatory response to antigenic stimulus	8
GO:0002862	negative regulation of inflammatory response to antigenic stimulus	7
GO:0042088	T-helper 1 type immune response	7
GO:0050746	regulation of lipoprotein metabolic process	10
GO:0032673	regulation of interleukin-4 production	15
GO:0002710	negative regulation of T cell mediated immunity	10
GO:2001198	regulation of dendritic cell differentiation	10
GO:0043301	negative regulation of leukocyte degranulation	6
GO:1903306	negative regulation of regulated secretory pathway	8
GO:0019336	phenol-containing compound catabolic process	6
GO:0019614	catechol-containing compound catabolic process	6
GO:0042424	catecholamine catabolic process	6
GO:0060263	regulation of respiratory burst	13
GO:0060267	positive regulation of respiratory burst	8
GO:0045665	negative regulation of neuron differentiation	9
GO:0010533	regulation of activation of Janus kinase activity	7
GO:0010536	positive regulation of activation of Janus kinase activity	6
GO:0001774	microglial cell activation	6
GO:0002269	leukocyte activation involved in inflammatory response	6
GO:0061900	glial cell activation	7
GO:0150076	neuroinflammatory response	7
GO:0014003	oligodendrocyte development	8
GO:0048709	oligodendrocyte differentiation	9
GO:0032609	interferon-gamma production	8
GO:0035774	positive regulation of insulin secretion involved in cellular response to glucose stimulus	8
GO:0051152	positive regulation of smooth muscle cell differentiation	10
GO:0015791	polyol transport	10
GO:0015793	glycerol transport	7
GO:0051131	chaperone-mediated protein complex assembly	17
GO:0071415	cellular response to purine-containing compound	6
GO:0045110	intermediate filament bundle assembly	6
GO:0010994	free ubiquitin chain polymerization	6
GO:0030073	insulin secretion	7
GO:0034638	phosphatidylcholine catabolic process	9
GO:1900226	negative regulation of NLRP3 inflammasome complex assembly	6
