experiment	run	sex	age_group	fold
GSE10586	GSM266963	female	adolescent	4
GSE10586	GSM266964	female	adolescent	4
GSE10586	GSM266966	female	adult	4
GSE10586	GSM266968	female	young_adult	4
GSE10586	GSM266969	female	young_adult	4
GSE10586	GSM266970	female	young_adult	4
GSE10586	GSM266972	female	middle_adult	4
GSE10586	GSM266973	female	middle_adult	4
GSE10586	GSM266976	female	young_adult	4
GSE10586	GSM266980	female	adolescent	4
GSE10586	GSM266981	female	child	4
GSE10586	GSM266982	female	young_child	4
GSE10586	GSM266983	female	child	4
GSE10586	GSM266984	female	child	4
GSE10586	GSM266986	female	adolescent	4
GSE10586	GSM266987	female	child	4
GSE10586	GSM266988	female	adolescent	4
GSE10927	GSM277139	female	middle_adult	4
GSE11375	GSM287290	female	adult	4
GSE11375	GSM287291	female	young_adult	4
GSE11375	GSM287292	female	young_adult	4
GSE11375	GSM287296	female	young_adult	4
GSE11375	GSM287297	female	young_adult	4
GSE11375	GSM287300	female	young_adult	4
GSE11375	GSM287305	female	adult	4
GSE11375	GSM287307	female	adult	4
GSE11375	GSM287318	female	middle_adult	4
GSE11375	GSM287322	female	middle_adult	4
GSE11375	GSM287324	female	adult	4
GSE11375	GSM287325	female	young_adult	4
GSE11375	GSM287328	female	middle_adult	4
GSE11375	GSM287329	female	middle_adult	4
GSE11375	GSM287331	female	young_adult	4
GSE11375	GSM287332	female	young_adult	4
GSE11375	GSM287333	female	adolescent	4
GSE11375	GSM287334	female	middle_adult	4
GSE11375	GSM287336	female	middle_adult	4
GSE11375	GSM287337	female	young_adult	4
GSE11375	GSM287339	female	adult	4
GSE11375	GSM287341	female	adult	4
GSE11375	GSM287342	female	young_adult	4
GSE11375	GSM287343	female	middle_adult	4
GSE11375	GSM287347	female	young_adult	4
GSE11375	GSM287348	female	adult	4
GSE11375	GSM287350	female	adolescent	4
GSE11375	GSM287351	female	adult	4
GSE11375	GSM287357	female	adolescent	4
GSE11375	GSM287364	female	young_adult	4
GSE11375	GSM287365	female	middle_adult	4
GSE11375	GSM287366	female	young_adult	4
GSE11375	GSM287368	female	middle_adult	4
GSE11375	GSM287369	female	adolescent	4
GSE11375	GSM287370	female	adult	4
GSE11375	GSM287371	female	middle_adult	4
GSE11375	GSM287376	female	young_adult	4
GSE11375	GSM287378	female	adolescent	4
GSE11375	GSM287380	female	young_adult	4
GSE11375	GSM287381	female	young_adult	4
GSE11375	GSM287382	female	middle_adult	4
GSE11375	GSM287387	female	middle_adult	4
GSE11375	GSM287389	female	young_adult	4
GSE11375	GSM287391	female	young_adult	4
GSE11375	GSM287393	female	adult	4
GSE11375	GSM287397	female	adolescent	4
GSE11375	GSM287402	female	young_adult	4
GSE11375	GSM287405	female	young_adult	4
GSE11375	GSM287409	female	adult	4
GSE11375	GSM287412	female	adult	4
GSE11375	GSM287414	female	adolescent	4
GSE11375	GSM287416	female	adolescent	4
