go_id	go_name
GO:0009895	negative regulation of catabolic process
GO:0043903	regulation of symbiotic process
GO:0009887	animal organ morphogenesis
GO:0033044	regulation of chromosome organization
GO:0060828	regulation of canonical Wnt signaling pathway
GO:1902903	regulation of supramolecular fiber organization
GO:0010959	regulation of metal ion transport
GO:0030036	actin cytoskeleton organization
GO:0031424	keratinization
GO:0048666	neuron development
GO:0071902	positive regulation of protein serine/threonine kinase activity
GO:0019882	antigen processing and presentation
GO:0046474	glycerophospholipid biosynthetic process
GO:0001558	regulation of cell growth
GO:0019693	ribose phosphate metabolic process
GO:0051091	positive regulation of DNA-binding transcription factor activity
GO:0002683	negative regulation of immune system process
GO:0007600	sensory perception
GO:0010594	regulation of endothelial cell migration
GO:0009259	ribonucleotide metabolic process
GO:0016053	organic acid biosynthetic process
GO:0046394	carboxylic acid biosynthetic process
GO:1904951	positive regulation of establishment of protein localization
GO:0032956	regulation of actin cytoskeleton organization
GO:0006066	alcohol metabolic process
GO:0032147	activation of protein kinase activity
GO:0097435	supramolecular fiber organization
GO:0006402	mRNA catabolic process
GO:0009150	purine ribonucleotide metabolic process
GO:0006631	fatty acid metabolic process
GO:0006979	response to oxidative stress
GO:0010035	response to inorganic substance
GO:0050792	regulation of viral process
GO:0000902	cell morphogenesis
GO:1901991	negative regulation of mitotic cell cycle phase transition
GO:0003013	circulatory system process
GO:0006909	phagocytosis
GO:0010639	negative regulation of organelle organization
GO:0034976	response to endoplasmic reticulum stress
GO:0071396	cellular response to lipid
GO:1901652	response to peptide
GO:0016050	vesicle organization
GO:1902749	regulation of cell cycle G2/M phase transition
GO:1903037	regulation of leukocyte cell-cell adhesion
GO:0002791	regulation of peptide secretion
GO:0032984	protein-containing complex disassembly
GO:0044703	multi-organism reproductive process
GO:0048002	antigen processing and presentation of peptide antigen
GO:0048646	anatomical structure formation involved in morphogenesis
GO:1904062	regulation of cation transmembrane transport
GO:0006352	DNA-templated transcription, initiation
GO:0045089	positive regulation of innate immune response
GO:0090066	regulation of anatomical structure size
GO:0050867	positive regulation of cell activation
GO:1903829	positive regulation of cellular protein localization
