tissueType	cellName	symbol	gene
Immune system	Plasma B cells	IGLL5	NA
Immune system	Plasma B cells	HLA-DQA1	3117
Immune system	Plasma B cells	HLA-DQB1	3119
Immune system	Plasma B cells	CD138	NA
Immune system	Plasma B cells	CD38	952
Immune system	Plasma B cells	VPREB3	29802
Immune system	Plasma B cells	IGLL5	NA
Immune system	Naive CD8+ T cells	CD8	NA
Immune system	Naive CD8+ T cells	CD2	914
Immune system	Naive CD8+ T cells	CD3D	915
Immune system	Naive CD8+ T cells	CD3E	916
Immune system	Naive CD8+ T cells	CD3G	917
Immune system	Naive CD8+ T cells	CD3Z	NA
Immune system	Naive CD8+ T cells	CD45RA	NA
Immune system	Naive CD8+ T cells	CD62L	NA
Immune system	Naive CD8+ T cells	CD27	939
Immune system	Naive CD8+ T cells	CD127	NA
Immune system	Naive CD8+ T cells	FOXP3	50943
Immune system	Naive CD8+ T cells	CCR7	1236
Immune system	Naive CD8+ T cells	CD45	NA
Immune system	Naive CD8+ T cells	CD8A	925
Immune system	Naive CD8+ T cells	CD8B	926
Immune system	Naive CD8+ T cells	CCR6	1235
Immune system	Naive CD8+ T cells	CD11B	NA
Immune system	Naive CD8+ T cells	CD30	NA
Immune system	Naive CD8+ T cells	CD6	923
Immune system	Naive CD8+ T cells	CTLA4	1493
Immune system	Naive CD8+ T cells	IL2RA	3559
Immune system	Naive CD8+ T cells	GZMB	3002
Immune system	Naive CD8+ T cells	PTPRC	5788
Immune system	Naive CD8+ T cells	SELL	6402
Immune system	Naive CD8+ T cells	CCR7	1236
Immune system	Naive CD8+ T cells	GNLY	10578
Immune system	Naive CD8+ T cells	TRAC	NA
Immune system	Naive CD8+ T cells	LTB	4050
Immune system	Naive CD8+ T cells	CD52	1043
Immune system	Naive CD8+ T cells	TRBC2	NA
Immune system	Naive CD8+ T cells	SHISA5	51246
Immune system	Naive CD8+ T cells	LCK	3932
Immune system	Naive CD8+ T cells	THY1	7070
Immune system	Naive CD8+ T cells	DAPL1	92196
Immune system	Naive CD4+ T cells	CD4	920
Immune system	Naive CD4+ T cells	CD2	914
Immune system	Naive CD4+ T cells	CD3D	915
Immune system	Naive CD4+ T cells	CD3E	916
Immune system	Naive CD4+ T cells	CD3G	917
Immune system	Naive CD4+ T cells	CD3Z	NA
Immune system	Naive CD4+ T cells	CD45RA	NA
Immune system	Naive CD4+ T cells	CD62L	NA
Immune system	Naive CD4+ T cells	CD27	939
Immune system	Naive CD4+ T cells	CD127	NA
Immune system	Naive CD4+ T cells	FOXP3	50943
Immune system	Naive CD4+ T cells	CCR7	1236
Immune system	Naive CD4+ T cells	CD45	NA
Immune system	Naive CD4+ T cells	CCR6	1235
Immune system	Naive CD4+ T cells	CD11B	NA
Immune system	Naive CD4+ T cells	CD30	NA
Immune system	Naive CD4+ T cells	CD6	923
Immune system	Naive CD4+ T cells	CTLA4	1493
Immune system	Naive CD4+ T cells	IL2RA	3559
Immune system	Naive CD4+ T cells	GZMB	3002
Immune system	Naive CD4+ T cells	PTPRC	5788
Immune system	Naive CD4+ T cells	SELL	6402
Immune system	Naive CD4+ T cells	CCR7	1236
Immune system	Naive CD4+ T cells	TRAC	NA
Immune system	Naive CD4+ T cells	LTB	4050
Immune system	Naive CD4+ T cells	CD52	1043
Immune system	Naive CD4+ T cells	TRBC2	NA
Immune system	Naive CD4+ T cells	SHISA5	51246
Immune system	Naive CD4+ T cells	LCK	3932
Immune system	Naive CD4+ T cells	THY1	7070
Immune system	Naive CD4+ T cells	DAPL1	92196
Immune system	Memory CD8+ T cells	CD8	NA
Immune system	Memory CD8+ T cells	CD2	914
Immune system	Memory CD8+ T cells	CD3D	915
Immune system	Memory CD8+ T cells	CD3E	916
Immune system	Memory CD8+ T cells	CD3G	917
Immune system	Memory CD8+ T cells	CD3Z	NA
Immune system	Memory CD8+ T cells	CD25	NA
Immune system	Memory CD8+ T cells	CD45RA	NA
Immune system	Memory CD8+ T cells	CD62L	NA
Immune system	Memory CD8+ T cells	CD27	939
Immune system	Memory CD8+ T cells	CD127	NA
Immune system	Memory CD8+ T cells	FOXP3	50943
Immune system	Memory CD8+ T cells	CCR7	1236
Immune system	Memory CD8+ T cells	CD45	NA
Immune system	Memory CD8+ T cells	CD8A	925
Immune system	Memory CD8+ T cells	CD8B	926
Immune system	Memory CD8+ T cells	CCR6	1235
Immune system	Memory CD8+ T cells	CD11B	NA
Immune system	Memory CD8+ T cells	CD30	NA
Immune system	Memory CD8+ T cells	CD45RO	NA
Immune system	Memory CD8+ T cells	CD6	923
Immune system	Memory CD8+ T cells	CTLA4	1493
Immune system	Memory CD8+ T cells	IL2RA	3559
Immune system	Memory CD8+ T cells	GZMB	3002
Immune system	Memory CD8+ T cells	SELL	6402
Immune system	Memory CD8+ T cells	CCR7	1236
Immune system	Memory CD8+ T cells	GNLY	10578
Immune system	Memory CD8+ T cells	S100A4	6275
Immune system	Memory CD8+ T cells	TRAC	NA
Immune system	Memory CD8+ T cells	LTB	4050
Immune system	Memory CD8+ T cells	CD52	1043
Immune system	Memory CD8+ T cells	TRBC2	NA
Immune system	Memory CD8+ T cells	SHISA5	51246
Immune system	Memory CD8+ T cells	LCK	3932
Immune system	Memory CD8+ T cells	THY1	7070
Immune system	Memory CD8+ T cells	DAPL1	92196
Immune system	Memory CD4+ T cells	CD4	920
Immune system	Memory CD4+ T cells	CD2	914
Immune system	Memory CD4+ T cells	CD3D	915
Immune system	Memory CD4+ T cells	CD3E	916
Immune system	Memory CD4+ T cells	CD3G	917
Immune system	Memory CD4+ T cells	CD3Z	NA
Immune system	Memory CD4+ T cells	CD25	NA
Immune system	Memory CD4+ T cells	CD45RA	NA
Immune system	Memory CD4+ T cells	CD62L	NA
Immune system	Memory CD4+ T cells	CD27	939
Immune system	Memory CD4+ T cells	CD127	NA
Immune system	Memory CD4+ T cells	FOXP3	50943
Immune system	Memory CD4+ T cells	CCR7	1236
Immune system	Memory CD4+ T cells	CD45	NA
Immune system	Memory CD4+ T cells	CCR6	1235
Immune system	Memory CD4+ T cells	CD11B	NA
Immune system	Memory CD4+ T cells	CD30	NA
Immune system	Memory CD4+ T cells	CD45RO	NA
Immune system	Memory CD4+ T cells	CD6	923
Immune system	Memory CD4+ T cells	CTLA4	1493
Immune system	Memory CD4+ T cells	IL2RA	3559
Immune system	Memory CD4+ T cells	GZMB	3002
Immune system	Memory CD4+ T cells	SELL	6402
Immune system	Memory CD4+ T cells	CCR7	1236
Immune system	Memory CD4+ T cells	S100A4	6275
Immune system	Memory CD4+ T cells	TRAC	NA
Immune system	Memory CD4+ T cells	LTB	4050
Immune system	Memory CD4+ T cells	CD52	1043
Immune system	Memory CD4+ T cells	TRBC2	NA
Immune system	Memory CD4+ T cells	SHISA5	51246
Immune system	Memory CD4+ T cells	LCK	3932
Immune system	Memory CD4+ T cells	THY1	7070
Immune system	Memory CD4+ T cells	DAPL1	92196
Immune system	Effector CD8+ T cells	CD8	NA
Immune system	Effector CD8+ T cells	CD2	914
Immune system	Effector CD8+ T cells	CD3D	915
Immune system	Effector CD8+ T cells	CD3E	916
Immune system	Effector CD8+ T cells	CD3G	917
Immune system	Effector CD8+ T cells	CD3Z	NA
Immune system	Effector CD8+ T cells	CD25	NA
Immune system	Effector CD8+ T cells	CD45RA	NA
Immune system	Effector CD8+ T cells	CD62L	NA
Immune system	Effector CD8+ T cells	CD27	939
Immune system	Effector CD8+ T cells	CD127	NA
Immune system	Effector CD8+ T cells	FOXP3	50943
Immune system	Effector CD8+ T cells	CCR7	1236
Immune system	Effector CD8+ T cells	CD45	NA
Immune system	Effector CD8+ T cells	CD8A	925
Immune system	Effector CD8+ T cells	CD8B	926
Immune system	Effector CD8+ T cells	CCR6	1235
Immune system	Effector CD8+ T cells	CD11B	NA
Immune system	Effector CD8+ T cells	CD30	NA
Immune system	Effector CD8+ T cells	CD6	923
Immune system	Effector CD8+ T cells	CTLA4	1493
Immune system	Effector CD8+ T cells	IL2RA	3559
Immune system	Effector CD8+ T cells	GZMB	3002
Immune system	Effector CD8+ T cells	PTPRC	5788
Immune system	Effector CD8+ T cells	GNLY	10578
Immune system	Effector CD8+ T cells	TRAC	NA
Immune system	Effector CD8+ T cells	LTB	4050
Immune system	Effector CD8+ T cells	CD52	1043
Immune system	Effector CD8+ T cells	TRBC2	NA
Immune system	Effector CD8+ T cells	SHISA5	51246
Immune system	Effector CD8+ T cells	LCK	3932
Immune system	Effector CD8+ T cells	THY1	7070
Immune system	Effector CD8+ T cells	DAPL1	92196
Immune system	Effector CD4+ T cells	CD4	920
Immune system	Effector CD4+ T cells	CD2	914
Immune system	Effector CD4+ T cells	CD3D	915
Immune system	Effector CD4+ T cells	CD3E	916
Immune system	Effector CD4+ T cells	CD3G	917
Immune system	Effector CD4+ T cells	CD3Z	NA
Immune system	Effector CD4+ T cells	CD25	NA
Immune system	Effector CD4+ T cells	CD45RA	NA
Immune system	Effector CD4+ T cells	CD62L	NA
Immune system	Effector CD4+ T cells	CD27	939
Immune system	Effector CD4+ T cells	CD127	NA
Immune system	Effector CD4+ T cells	FOXP3	50943
Immune system	Effector CD4+ T cells	CCR7	1236
Immune system	Effector CD4+ T cells	CD45	NA
Immune system	Effector CD4+ T cells	CCR6	1235
Immune system	Effector CD4+ T cells	CD11B	NA
Immune system	Effector CD4+ T cells	CD30	NA
Immune system	Effector CD4+ T cells	CD6	923
Immune system	Effector CD4+ T cells	CTLA4	1493
Immune system	Effector CD4+ T cells	IL2RA	3559
Immune system	Effector CD4+ T cells	GZMB	3002
Immune system	Effector CD4+ T cells	PTPRC	5788
Immune system	Effector CD4+ T cells	TRAC	NA
Immune system	Effector CD4+ T cells	LTB	4050
Immune system	Effector CD4+ T cells	CD52	1043
Immune system	Effector CD4+ T cells	TRBC2	NA
Immune system	Effector CD4+ T cells	SHISA5	51246
Immune system	Effector CD4+ T cells	LCK	3932
Immune system	Effector CD4+ T cells	THY1	7070
Immune system	Effector CD4+ T cells	DAPL1	92196
Immune system	γδ-T cells	CD2	914
Immune system	γδ-T cells	CD3D	915
Immune system	γδ-T cells	CD3E	916
Immune system	γδ-T cells	CD3G	917
Immune system	γδ-T cells	CD3Z	NA
Immune system	γδ-T cells	CD25	NA
Immune system	γδ-T cells	CD45RA	NA
Immune system	γδ-T cells	CD62L	NA
Immune system	γδ-T cells	CD27	939
Immune system	γδ-T cells	CD127	NA
Immune system	γδ-T cells	FOXP3	50943
Immune system	γδ-T cells	CCR7	1236
Immune system	γδ-T cells	CD45	NA
Immune system	γδ-T cells	CCR6	1235
Immune system	γδ-T cells	CD11B	NA
Immune system	γδ-T cells	CD30	NA
Immune system	γδ-T cells	CD6	923
Immune system	γδ-T cells	CTLA4	1493
Immune system	γδ-T cells	IL2RA	3559
Immune system	γδ-T cells	GZMB	3002
Immune system	γδ-T cells	PTPRC	5788
Immune system	γδ-T cells	TRDV2	NA
Immune system	γδ-T cells	TRGV9	NA
Immune system	γδ-T cells	TRGC1	NA
Immune system	γδ-T cells	TRAC	NA
Immune system	γδ-T cells	LTB	4050
Immune system	γδ-T cells	CD52	1043
Immune system	γδ-T cells	TRBC2	NA
Immune system	γδ-T cells	SHISA5	51246
Immune system	γδ-T cells	LCK	3932
Immune system	γδ-T cells	THY1	7070
Immune system	γδ-T cells	DAPL1	92196
Immune system	Platelets	CD41	NA
Immune system	Platelets	CD42B	NA
Immune system	Platelets	CD61	NA
Immune system	Platelets	CD31	NA
Immune system	Platelets	PPBP	5473
Immune system	Platelets	PF4	5196
Immune system	Platelets	GNG11	2791
Immune system	Platelets	SDPR	NA
Immune system	Platelets	CLU	1191
Immune system	Platelets	CD41	NA
Immune system	Platelets	CD110	NA
Immune system	CD8+ NKT-like cells	CD8	NA
Immune system	CD8+ NKT-like cells	CD56	NA
Immune system	CD8+ NKT-like cells	CD2	914
Immune system	CD8+ NKT-like cells	CD16	NA
Immune system	CD8+ NKT-like cells	CD94	NA
Immune system	CD8+ NKT-like cells	CD3D	915
Immune system	CD8+ NKT-like cells	CD3E	916
Immune system	CD8+ NKT-like cells	CD3G	917
Immune system	CD8+ NKT-like cells	CD3Z	NA
Immune system	CD8+ NKT-like cells	NKP46	NA
Immune system	CD8+ NKT-like cells	CD11B	NA
Immune system	CD8+ NKT-like cells	CD161	NA
Immune system	CD8+ NKT-like cells	CD314	NA
Immune system	CD8+ NKT-like cells	CD69	969
Immune system	CD8+ NKT-like cells	NKG7	4818
Immune system	CD8+ NKT-like cells	CD122	NA
Immune system	CD8+ NKT-like cells	NKG2D	NA
Immune system	CD8+ NKT-like cells	GZMB	3002
Immune system	CD8+ NKT-like cells	GZMA	3001
Immune system	CD8+ NKT-like cells	GZMM	3004
Immune system	CD8+ NKT-like cells	GNLY	10578
Immune system	CD8+ NKT-like cells	COX6A2	1339
Immune system	CD8+ NKT-like cells	ZMAT4	79698
Immune system	CD8+ NKT-like cells	KIR2DL4	3805
Immune system	CD4+ NKT-like cells	CD4	920
Immune system	CD4+ NKT-like cells	CD56	NA
Immune system	CD4+ NKT-like cells	CD2	914
Immune system	CD4+ NKT-like cells	CD16	NA
Immune system	CD4+ NKT-like cells	CD94	NA
Immune system	CD4+ NKT-like cells	CD3D	915
Immune system	CD4+ NKT-like cells	CD3E	916
Immune system	CD4+ NKT-like cells	CD3G	917
Immune system	CD4+ NKT-like cells	CD3Z	NA
Immune system	CD4+ NKT-like cells	NKP46	NA
Immune system	CD4+ NKT-like cells	CD11B	NA
Immune system	CD4+ NKT-like cells	CD161	NA
Immune system	CD4+ NKT-like cells	CD314	NA
Immune system	CD4+ NKT-like cells	CD69	969
Immune system	CD4+ NKT-like cells	NKG7	4818
Immune system	CD4+ NKT-like cells	CD122	NA
Immune system	CD4+ NKT-like cells	NKG2D	NA
Immune system	CD4+ NKT-like cells	GZMB	3002
Immune system	CD4+ NKT-like cells	GZMA	3001
Immune system	CD4+ NKT-like cells	GZMM	3004
Immune system	CD4+ NKT-like cells	COX6A2	1339
Immune system	CD4+ NKT-like cells	ZMAT4	79698
Immune system	CD4+ NKT-like cells	KIR2DL4	3805
Immune system	Natural killer  cells	CD56	NA
Immune system	Natural killer  cells	CD2	914
Immune system	Natural killer  cells	CD16	NA
Immune system	Natural killer  cells	CD94	NA
Immune system	Natural killer  cells	NKP46	NA
Immune system	Natural killer  cells	CD11B	NA
Immune system	Natural killer  cells	CD161	NA
Immune system	Natural killer  cells	CD314	NA
Immune system	Natural killer  cells	CD69	969
Immune system	Natural killer  cells	NKG7	4818
Immune system	Natural killer  cells	CD122	NA
Immune system	Natural killer  cells	NKG2D	NA
Immune system	Natural killer  cells	GZMB	3002
Immune system	Natural killer  cells	GZMA	3001
Immune system	Natural killer  cells	GZMM	3004
Immune system	Natural killer  cells	FCGR3A	NA
Immune system	Natural killer  cells	GNLY	10578
Immune system	Natural killer  cells	COX6A2	1339
Immune system	Natural killer  cells	ZMAT4	79698
Immune system	Natural killer  cells	KIR2DL4	3805
Immune system	Natural killer  cells	NKG7	4818
Immune system	Eosinophils	CD11B	NA
Immune system	Eosinophils	CD193	NA
Immune system	Eosinophils	CD123	NA
Immune system	Eosinophils	CD125	NA
Immune system	Eosinophils	CD15	NA
Immune system	Eosinophils	SIGLEC8	27181
Immune system	Eosinophils	CLC	1178
Immune system	Eosinophils	GATA1	2623
Immune system	Eosinophils	CEBPE	1053
Immune system	Eosinophils	SEMG1	6406
Immune system	Eosinophils	ALOX15	246
Immune system	Eosinophils	CCL23	6368
Immune system	Eosinophils	PRSS41	NA
Immune system	Eosinophils	PRSS33	260429
Immune system	Eosinophils	THBS4	7060
Immune system	Eosinophils	FOXI1	2299
Immune system	Neutrophils	CD66B	NA
Immune system	Neutrophils	CD11B	NA
Immune system	Neutrophils	CD15	NA
Immune system	Neutrophils	CD16	NA
Immune system	Neutrophils	CXCL8	3576
Immune system	Neutrophils	FCGR3B	2215
Immune system	Neutrophils	MNDA	4332
Immune system	Neutrophils	CXCR2	3579
Immune system	Neutrophils	MPO	4353
Immune system	Neutrophils	ELANE	1991
Immune system	Neutrophils	PRTN3	5657
Immune system	Neutrophils	MPO	4353
Immune system	Neutrophils	AZU1	566
Immune system	Neutrophils	LYZ	4069
Immune system	Neutrophils	S100A8	6279
Immune system	Neutrophils	S100A9	6280
Immune system	Neutrophils	PI3	5266
Immune system	Neutrophils	CHI3L1	1116
Immune system	Neutrophils	ANXA3	306
Immune system	Neutrophils	CXCL1	2919
Immune system	Neutrophils	TGM3	7053
Immune system	Neutrophils	BTNL3	10917
Immune system	Neutrophils	C4BPA	722
Immune system	Neutrophils	MMP9	4318
Immune system	Neutrophils	CD24	100133941
Immune system	Neutrophils	BPI	671
Immune system	Neutrophils	LTF	4057
Immune system	Neutrophils	GCA	25801
Immune system	Neutrophils	CAMP	820
Immune system	Neutrophils	NGP	NA
Immune system	Neutrophils	CHIL3	NA
Immune system	Neutrophils	LTF	4057
Immune system	Basophils	CD63	967
Immune system	Basophils	CD203C	NA
Immune system	Basophils	CD123	NA
Immune system	Basophils	CLC	1178
Immune system	Basophils	MS4A3	932
Immune system	Basophils	TCN1	6947
Immune system	Basophils	CPA3	1359
Immune system	Basophils	HDC	3067
Immune system	Basophils	GATA2	2624
Immune system	Basophils	MS4A2	2206
Immune system	Basophils	IL4	3565
Immune system	Basophils	GCSAML	148823
Immune system	Basophils	GATA2	2624
Immune system	Basophils	TPSAB1	7177
Immune system	Mast cells	CD117	NA
Immune system	Mast cells	CD203C	NA
Immune system	Mast cells	CD25	NA
Immune system	Mast cells	KIT	3815
Immune system	Mast cells	SLC18A2	6571
Immune system	Mast cells	CD33	945
Immune system	Mast cells	CD32	NA
Immune system	Mast cells	FCER1A	2205
Immune system	Mast cells	TPSD1	23430
Immune system	Mast cells	HPGDS	27306
Immune system	Classical Monocytes	CD14	929
Immune system	Classical Monocytes	CD11B	NA
Immune system	Classical Monocytes	CD68	968
Immune system	Classical Monocytes	HLA-DR	NA
Immune system	Classical Monocytes	CD33	945
Immune system	Classical Monocytes	CD11C	NA
Immune system	Classical Monocytes	CD123	NA
Immune system	Classical Monocytes	CD15	NA
Immune system	Classical Monocytes	CD3D	915
Immune system	Classical Monocytes	CD3E	916
Immune system	Classical Monocytes	CD3G	917
Immune system	Classical Monocytes	CD3Z	NA
Immune system	Classical Monocytes	CD66B	NA
Immune system	Classical Monocytes	VCAN	1462
Immune system	Classical Monocytes	S100A12	6283
Immune system	Classical Monocytes	CXCL8	3576
Immune system	Classical Monocytes	S100A8	6279
Immune system	Classical Monocytes	S100A9	6280
Immune system	Classical Monocytes	LYZ	4069
Immune system	Classical Monocytes	CST3	1471
Immune system	Classical Monocytes	ELANE1	NA
Immune system	Non-classical monocytes	CD14	929
Immune system	Non-classical monocytes	CD16	NA
Immune system	Non-classical monocytes	CD11B	NA
Immune system	Non-classical monocytes	CD68	968
Immune system	Non-classical monocytes	HLA-DR	NA
Immune system	Non-classical monocytes	CD33	945
Immune system	Non-classical monocytes	CD11C	NA
Immune system	Non-classical monocytes	CD123	NA
Immune system	Non-classical monocytes	CD15	NA
Immune system	Non-classical monocytes	CD3D	915
Immune system	Non-classical monocytes	CD3E	916
Immune system	Non-classical monocytes	CD3G	917
Immune system	Non-classical monocytes	CD3Z	NA
Immune system	Non-classical monocytes	CD66B	NA
Immune system	Non-classical monocytes	FCGR3A	NA
Immune system	Non-classical monocytes	CDKN1C	1028
Immune system	Non-classical monocytes	LST1	7940
Immune system	Non-classical monocytes	FCER1G	2207
Immune system	Non-classical monocytes	MS4A7	58475
Immune system	Non-classical monocytes	RHOC	389
Immune system	Non-classical monocytes	S100A8	6279
Immune system	Non-classical monocytes	S100A9	6280
Immune system	Non-classical monocytes	CST3	1471
Immune system	Non-classical monocytes	C1QC	714
Immune system	Non-classical monocytes	ELANE1	NA
Immune system	Intermediate monocytes	CD14	929
Immune system	Intermediate monocytes	CD16	NA
Immune system	Intermediate monocytes	CD11B	NA
Immune system	Intermediate monocytes	CD68	968
Immune system	Intermediate monocytes	HLA-DR	NA
Immune system	Intermediate monocytes	CD33	945
Immune system	Intermediate monocytes	CD11C	NA
Immune system	Intermediate monocytes	CD123	NA
Immune system	Intermediate monocytes	CD15	NA
Immune system	Intermediate monocytes	CD3D	915
Immune system	Intermediate monocytes	CD3E	916
Immune system	Intermediate monocytes	CD3G	917
Immune system	Intermediate monocytes	CD3Z	NA
Immune system	Intermediate monocytes	CD66B	NA
Immune system	Intermediate monocytes	IL1B	3553
Immune system	Intermediate monocytes	S100A8	6279
Immune system	Intermediate monocytes	S100A9	6280
Immune system	Intermediate monocytes	CST3	1471
Immune system	Intermediate monocytes	C1QC	714
Immune system	Intermediate monocytes	ELANE1	NA
Immune system	Macrophages	CD68	968
Immune system	Macrophages	CD163	9332
Immune system	Macrophages	CD14	929
Immune system	Macrophages	CD11B	NA
Immune system	Macrophages	CD206	NA
Immune system	Macrophages	CD80	941
Immune system	Macrophages	CD86	942
Immune system	Macrophages	CD16	NA
Immune system	Macrophages	CD64	NA
Immune system	Macrophages	CCL18	6362
Immune system	Macrophages	CD115	NA
Immune system	Macrophages	CD11C	NA
Immune system	Macrophages	CD32	NA
Immune system	Macrophages	HLA-DR	NA
Immune system	Macrophages	MRC1	4360
Immune system	Macrophages	MSR1	4481
Immune system	Macrophages	GCA	25801
Immune system	Macrophages	PF4	5196
Immune system	Megakaryocyte	CD61	NA
Immune system	Megakaryocyte	CD41	NA
Immune system	Megakaryocyte	CD42B	NA
Immune system	Megakaryocyte	CD41A	NA
Immune system	Megakaryocyte	CD42A	NA
Immune system	Megakaryocyte	CXCR4	7852
Immune system	Megakaryocyte	CD110	NA
Immune system	Endothelial	PECAM1	5175
Immune system	Endothelial	CD34	947
Immune system	Endothelial	KDR	3791
Immune system	Endothelial	CDH5	1003
Immune system	Endothelial	PROM1	8842
Immune system	Endothelial	PDPN	10630
Immune system	Endothelial	TEK	7010
Immune system	Endothelial	FLT1	2321
Immune system	Endothelial	VCAM1	7412
Immune system	Endothelial	PTPRC	5788
Immune system	Endothelial	VWF	7450
Immune system	Endothelial	ENG	2022
Immune system	Endothelial	MCAM	4162
Immune system	Endothelial	ICAM1	3383
Immune system	Endothelial	FLT4	2324
Immune system	Endothelial	SELE	6401
Immune system	Erythroid-like and erythroid precursor cells	PTPRC	5788
Immune system	Erythroid-like and erythroid precursor cells	GYPA	2993
Immune system	Erythroid-like and erythroid precursor cells	RUVBL1	8607
Immune system	Erythroid-like and erythroid precursor cells	TFRC	7037
Immune system	Erythroid-like and erythroid precursor cells	FOLR1	2348
Immune system	Erythroid-like and erythroid precursor cells	CD36	948
Immune system	Erythroid-like and erythroid precursor cells	ITGA4	3676
Immune system	Erythroid-like and erythroid precursor cells	HBB	3043
Immune system	Erythroid-like and erythroid precursor cells	CD235A	NA
