geneId	diseaseName
1	Hepatomegaly
1	Schizophrenia
2	Alzheimer's Disease
2	Malignant tumor of colon
2	Colonic Neoplasms
2	Presenile dementia
2	Mental Depression
2	Depressive disorder
2	Hepatolenticular Degeneration
2	Kidney Failure, Acute
2	Liver Cirrhosis
2	Liver Cirrhosis, Experimental
2	Lung diseases
2	Lung Neoplasms
2	Nephrotic Syndrome
2	Hepatocellular Adenoma
2	Fibrosis, Liver
2	Malignant neoplasm of lung
2	Familial Alzheimer Disease (FAD)
2	Alzheimer Disease, Late Onset
2	Acute Confusional Senile Dementia
2	Alzheimer's Disease, Focal Onset
2	Alzheimer Disease, Early Onset
2	Hepatic Form of Wilson Disease
2	Acute Kidney Insufficiency
2	Liver carcinoma
2	Acute kidney injury
2	alpha-2-Macroglobulin Deficiency
9	Alcoholic Intoxication, Chronic
9	Autosome Abnormalities
9	Malignant neoplasm of urinary bladder
9	Bladder Neoplasm
9	Malignant Neoplasms
9	Chromosome Aberrations
9	Drug toxicity
9	Neoplasms
9	Dermatitis, Occupational
9	Prostatic Neoplasms
9	Adverse reaction to drug
9	Industrial Dermatosis
9	Benign Neoplasm
9	Malignant neoplasm of prostate
10	Malignant neoplasm of urinary bladder
10	Bladder Neoplasm
10	Malignant neoplasm of breast
10	Coronary Arteriosclerosis
10	Diastematomyelia
10	Drug Allergy
10	Drug toxicity
10	Hepatitis, Toxic
10	Childhood Acute Lymphoblastic Leukemia
10	L2 Acute Lymphoblastic Leukemia
10	Leukopenia
10	Liver neoplasms
10	Neural Tube Defects
10	Neurenteric Cyst
10	Dermatitis, Occupational
10	Prostatic Neoplasms
10	Adverse reaction to drug
10	Tethered Cord Syndrome
10	Industrial Dermatosis
10	Iniencephaly
10	Craniorachischisis
10	Exencephaly
10	Spinal Cord Myelodysplasia
10	Malignant neoplasm of liver
10	Malignant mesothelioma
10	Malignant neoplasm of prostate
10	Breast Carcinoma
10	Acrania
10	Drug-Induced Liver Disease
10	Mammary Neoplasms, Human
10	Hepatitis, Drug-Induced
10	Mammary Neoplasms
10	Coronary Artery Disease
10	Precursor Cell Lymphoblastic Leukemia Lymphoma
10	Liver carcinoma
10	Drug-Induced Acute Liver Injury
10	Chemical and Drug Induced Liver Injury
10	Chemically-Induced Liver Toxicity
10	Mammary Carcinoma, Human
12	Lipoidosis
12	Prostatic Neoplasms
12	Malignant neoplasm of prostate
13	Liver Cirrhosis, Experimental
15	Depression, Bipolar
15	Mental Depression
15	Depressive disorder
15	Delayed Sleep Phase Syndrome
15	Nonorganic Sleep Wake Cycle Disorders
15	Advanced Sleep Phase Syndrome
15	Non-24 Hour Sleep-Wake Disorder
15	Shift-Work Sleep Disorder
15	Sleep Disorders, Circadian Rhythm
16	Charcot-Marie-Tooth Disease, Axonal, Type 2n
16	EPILEPTIC ENCEPHALOPATHY, EARLY INFANTILE, 29
18	Autistic Disorder
18	Gastroesophageal reflux disease
18	Jacksonian Seizure
18	Lethargy
18	Liver Cirrhosis, Experimental
18	Flaccid Muscle Tone
18	Muscle hypotonia
18	Psychomotor Disorders
18	Reflex, Abnormal
18	Seizures
18	Complex partial seizures
18	Reflex, Corneal, Decreased
18	Hyporeflexia
18	Hyperreflexia
18	Absent reflex
18	Generalized seizures
18	Clonic Seizures
18	Reflex, Gag, Absent
18	Reflex, Deep Tendon, Absent
18	Visual seizure
18	Tonic Seizures
18	Epileptic drop attack
18	Hoffman's Reflex
18	Reflex, Pendular
18	Reflex, Corneal, Absent
18	Gamma aminobutyric acid transaminase deficiency
18	Seizures, Somatosensory
18	Seizures, Auditory
18	Olfactory seizure
18	Gustatory seizure
18	Vertiginous seizure
18	Motor retardation
18	Developmental delay (disorder)
18	Floppy Muscles
18	Muscle Tone Atonic
18	Tonic - clonic seizures
18	Reflex, Acoustic, Abnormal
18	Global developmental delay
18	Reflex, Ankle, Absent
18	Reflex, Triceps, Absent
18	Reflex, Biceps, Absent
18	Reflex, Anal, Absent
18	Abnormal Deep Tendon Reflex
18	Non-epileptic convulsion
18	Single Seizure
18	Atonic Absence Seizures
18	Unilateral Hypotonia
18	Developmental Psychomotor Disorders
18	Bulbocavernosus Reflex, Decreased
18	Bulbocavernousus Reflex Absent
18	Palmo-Mental Reflex
18	Reflex, Anal, Decreased
18	Reflex, Ankle, Abnormal
18	Reflex, Ankle, Decreased
18	Reflex, Biceps, Abnormal
18	Reflex, Biceps, Decreased
18	Reflex, Gag, Decreased
18	Reflex, Knee, Abnormal
18	Reflex, Knee, Decreased
18	Reflex, Moro, Asymmetric
18	Reflex, Triceps, Abnormal
18	Reflex, Triceps, Decreased
18	Convulsive Seizures
18	Seizures, Focal
18	Seizures, Sensory
18	Neonatal Hypotonia
18	Nonepileptic Seizures
18	Convulsions
18	Absence Seizures
18	Epileptic Seizures
18	Myoclonic Seizures
18	Generalized Absence Seizures
19	Atherosclerosis
19	Colorectal Carcinoma
19	Colorectal Neoplasms
19	Hypercholesterolemia
19	Hypercholesterolemia, Familial
19	Kidney Failure, Chronic
19	Schizophrenia
19	Tangier Disease
19	Apolipoprotein A-I deficiency
19	Hypoalphalipoproteinemias
19	Hyperlipoproteinemia Type IIa
19	Tangier Disease Neuropathy
19	Atherogenesis
19	Hyperlipoproteinemia Type IIb
19	Hypoalphalipoproteinemia, Familial
19	Familial HDL deficiency
19	Hdl Deficiency, Type 2
19	Peripheral Nervous System Diseases
21	Malignant neoplasm of breast
21	Colorectal Carcinoma
21	Colorectal Neoplasms
21	Pathological accumulation of air in tissues
21	Hyaline Membrane Disease
21	Pulmonary Hypertension
21	Pulmonary Fibrosis
21	Respiratory Distress Syndrome, Newborn
